URL,Melting Point
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/14896/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/6441827/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/22692/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/787/xml?heading=Melting+Point,"91.49 °F (USCG, 1999)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/787/xml?heading=Melting+Point,33 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/787/xml?heading=Melting+Point,33°C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/787/xml?heading=Melting+Point,33 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/787/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/39485/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/124610/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5634/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5634/xml?heading=Melting+Point,24.5 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5634/xml?heading=Melting+Point,24.5°C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/5634/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/139596175/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/118691/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/86171/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/338733/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/77353/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/23932/xml?heading=Melting+Point,"4752 °F (NIOSH, 2016)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/23932/xml?heading=Melting+Point,2622 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/23932/xml?heading=Melting+Point,2617 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/23932/xml?heading=Melting+Point,4752°F
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/23932/xml?heading=Melting+Point,4752°F
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/23932/xml?heading=Melting+Point,4752°F
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/23932/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/162097/xml?heading=Melting+Point,"-4 °F (USCG, 1999)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/162097/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7390/xml?heading=Melting+Point,"-62 °F (NTP, 1992)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7390/xml?heading=Melting+Point,-52.0 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7390/xml?heading=Melting+Point,-52 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/7390/xml?heading=Melting+Point,-62.5 °C
