0,1,2,3
,[6117-91-5],,
,2-methyl-3-buten-2-ol,6.4×10−1,Iraci et al. (1999) M 23
,C 5 H 9O,4.7 ×10−1,Altschuh et al. (1999) M
,[115-18-4],6.0×10−1,Hilal et al. (2008) Q
,2-methyl-3-butyn-2-ol,2.5,Altschuh et al. (1999) M
,C5H8O,1.0,Hilal et al. (2008) Q
,[115-19-5],,
,3-methyl-1-pentyn-3-ol,9.9×10−1,Hilal et al. (2008) Q
,C6H10O,,
,(meparfynol),,
,[77-75-8],,
,1-octen-3-ol,1.3×10,Roberts and Pollien (1997) M
,C8H16O,,
,[3391-86-4],,
,bicyclo[2.2.1]heptan-2-ol,2.2,5000 van Roon et al. (2005) V
,C7H12O,,
,(norborneol),,
,[1632-68-4],,
,"3,7-dimethyl-1,6-octadien-3-ol",2.0×10−1,4400 Leng et al. (2013) M
,C10H18O,4.6×10−1,Altschuh et al. (1999) M
,(linalool),4.8 10−1×,Copolovici and Niinemets (2005) V
,[78-70-6],4.8 ×10−1,Niinemets and Reichstein (2002) V
,,2.1 10−1×,14000 Li et al. (1998) V
,,2.5 ×10−1,Savary et al. (2014) Q
,,6.9 10−1×,Hilal et al. (2008) Q
,,1.5 10−2×,Hertel and Sommer (2006) Q 166
,"(E)-3,7-dimethyl-2,6-octadien-1-ol",1.7 ×10−1,HSDB (2015) Q 38
,C10H18O,,
,(geraniol),,
,[106-24-1],,
,"tricyclo[3.3.1.1(3,7)]decan-1-ol",6.0,5300 van Roon et al. (2005) V
,C10H16O,,
,(1-adamantanol),,
,[768-95-6],,
,plinol,1.2,Hilal et al. (2008) Q
,C10H18O,,
,[11039-70-6],,
,"3,7,11-trimethyl-2,6,10-dodecatrien-1-",3.9 ×10−2,HSDB (2015) Q 38
,ol,,
,C15H26O,,
,(farnesol),,
,[4602-84-0],,
,(Z)-9-octadecen-1-ol,2.1 10−2×,HSDB (2015) Q 38
,C18H36O,,
,(oleyl alcohol),,
,[143-28-2],,
,dihydroabietyl alcohol,1.9×10−1,"Zhang et al. (2010) Q 107, 108"
,C20H34O,2.4×101,"Zhang et al. (2010) Q 107, 109"
,[26266-77-3],2.6 101×,"Zhang et al. (2010) Q 107, 110"
,,2.0×10−1,"Zhang et al. (2010) Q 107, 111"
,ethylestrenol,4.3×10−1,HSDB (2015) Q 38
,C20H32O,,
,[965-90-2],,
,hydroxybenzene,2.8×10,2700 Guo and Brimblecombe (2007) M
,C6H5OH,6.4,7700 Feigenbrugel et al. (2004b) M
,(phenol),3.0 101×,5900 Harrison et al. (2002) M
,[108-95-2],1.9 ×101,Sheikheldin et al. (2001) M 9
,,>4.2,Altschuh et al. (1999) M
,,8.1 101×,7400 Tabai et al. (1997) M 89
,,4.2,Heal et al. (1995) M 147
,,1.6 ×101,6000 Dohnal and Fenclová (1995) M
,,1.5 ×101,Tremp et al. (1993) M 9
,,1.7 101×,6100 Abd-El-Bary et al. (1986) M
,,7.6,Warner et al. (1980) M
,,2.0 ×101,Mackay et al. (2006c) V
,,2.5×101,Lide and Frederikse (1995) V
,,1.9×101,Mackay et al. (1995) V
,,1.9 ×101,Shiu et al. (1994) V
,,3.4,Hwang et al. (1992) V
,,1.1×101,Riederer (1990) V
,,9.0×101,Leuenberger et al. (1985) V 167
,,4.8,Hine and Weimar Jr. (1965) R
,,2.8 ×101,6800 Parsons et al. (1971) T 168
,,1.9,3600 Janini and Quaddora (1986) X 116
,,1.9 ×101,7300 Goldstein (1982) X 116
,,2.5×101,Howard (1989) X 169
,,3.0 101×,Gaffney and Senum (1984) X 153
,,3.7 ×101,McCarty (1980) X 145
,,2.5×101,Schüürmann (2000) C 7
,,7.6,Shiu et al. (1994) C
,,7.6,Smith et al. (1993) C
,,2.1 ×101,Ryan et al. (1988) C
,,7.6,Shen (1982) C
,,4.4,Hilal et al. (2008) Q
,,,6200 Kühne et al. (2005) Q
,,9.9,Nirmalakhandan and Speece (1988a) Q
,,,5400 Kühne et al. (2005) ?
,,1.6 101×,Abraham et al. (1990) ?
,(hydroxymethyl)-benzene,>3.7 ×101,Altschuh et al. (1999) M
,C6H5CH2OH,6.2 ×10−2,Mackay et al. (2006c) V
,(benzyl alcohol),6.2×10−2,Mackay et al. (1995) V
,[100-51-6],2.9×101,Abraham et al. (1994a) R
,,2.5 101×,Howard (1993) X 164
,,2.2 101×,Hilal et al. (2008) Q
,,6.9 ×101,Nirmalakhandan et al. (1997) Q
,,8.9×101,Saxena and Hildemann (1996) E 158
,,2.9 ×101,HSDB (2015) ? 170
,,1.8×101,Abraham et al. (1990) ?
,1-hydroxy-2-methylbenzene,4.2,8500 Feigenbrugel et al. (2004b) M
,HOC6H4CH3,1.1×101,6700 Harrison et al. (2002) M
,(2-cresol; o-cresol),6.3,Altschuh et al. (1999) M
,[95-48-7],5.6,5800 Dohnal and Fenclová (1995) M
,,7.1,Tremp et al. (1993) M 9
,,8.2,7300 Parsons et al. (1972) M 168
,,,Mackay et al. (2006c) V 171
,,6.2,Lide and Frederikse (1995) V
,,6.4,Mackay et al. (1995) V
,,3.5 ×101,Leuenberger et al. (1985) V 167
,,2.6,4600 Janini and Quaddora (1986) X 116
,,6.2,Howard (1989) X 169
,,8.2,Gaffney and Senum (1984) X 153
,,8.3,Schüürmann (2000) C 7
,,5.3,Hilal et al. (2008) Q
,,,6500 Kühne et al. (2005) Q
,,7.2,Nirmalakhandan and Speece (1988a) Q
,,,8100 Kühne et al. (2005) ?
,,1.2 ×101,"Yaws and Yang (1992) ? 92, 9"
,,8.0,Abraham et al. (1990) ?
,1-hydroxy-3-methylbenzene,7.9,9000 Feigenbrugel et al. (2004b) M
,HOC6H4CH3,1.2×101,Altschuh et al. (1999) M
,(3-cresol; m-cresol),1.2 101×,6000 Dohnal and Fenclová (1995) M
,[108-39-4],1.3×101,Mackay et al. (2006c) V
,,1.2×101,Schüürmann (2000) V
,,1.1×101,Lide and Frederikse (1995) V
,,1.1×101,Mackay et al. (1995) V
,,1.1×101,Meylan and Howard (1991) V
,,4.9×101,Leuenberger et al. (1985) V 167
,,6.1,7700 Janini and Quaddora (1986) X 116
,,1.1 ×101,Howard (1989) X 169
,,3.9,Hilal et al. (2008) Q
,,,6500 Kühne et al. (2005) Q
,,1.6 101×,Meylan and Howard (1991) Q
,,,6500 Kühne et al. (2005) ?
,,1.4×101,"Yaws and Yang (1992) ? 92, 9"
,,4.3,Abraham et al. (1990) ?
,1-hydroxy-4-methylbenzene,1.0 101×,9300 Feigenbrugel et al. (2004b) M
,HOC6H4CH3,>2.9,Altschuh et al. (1999) M
,(4-cresol; p-cresol),1.3 ×101,6100 Dohnal and Fenclová (1995) M
,[106-44-5],1.3×101,Tremp et al. (1993) M 9
,,1.3 ×101,7200 Parsons et al. (1972) M 168
,,1.8×101,Mackay et al. (2006c) V
,,1.0×101,Lide and Frederikse (1995) V
,,1.5 101×,Mackay et al. (1995) V
,,4.5×101,Leuenberger et al. (1985) V 167
,,5.2,4600 Janini and Quaddora (1986) X 116
,,1.0×101,Howard (1989) X 169
,,9.9,Gaffney and Senum (1984) X 153
,,1.3×101,Schüürmann (2000) C 7
,,4.2,Hilal et al. (2008) Q
,,,6500 Kühne et al. (2005) Q
,,7.0,Nirmalakhandan and Speece (1988a) Q
,,,6000 Kühne et al. (2005) ?
,,2.5×101,"Yaws and Yang (1992) ? 92, 9"
,,1.3×101,Abraham et al. (1990) ?
,"1-hydroxy-2,3-dimethylbenzene",9.3,Sheikheldin et al. (2001) M 9
,C8H10O,1.0×101,6800 Dohnal and Fenclová (1995) M
,"(2,3-xylenol; 2,3-dimethylphenol)",3.2,HSDB (2015) V
,[526-75-0],1.8 101×,Mackay et al. (2006c) V
,,1.9 101×,Mackay et al. (1995) V
,,4.9 101×,Leuenberger et al. (1985) V 167
,,1.3×101,Abraham et al. (1994a) R
,,5.8,Hilal et al. (2008) Q
,,4.6 ×101,Nirmalakhandan et al. (1997) Q
,"1-hydroxy-2,4-dimethylbenzene",6.6,Sheikheldin et al. (2001) M 9
,C8H10O,4.9,6100 Dohnal and Fenclová (1995) M
,"(2,4-xylenol; 2,4-dimethylphenol)",1.9×10−3,-3300 Ashworth et al. (1988) M 103
,[105-67-9],5.5,Mackay et al. (2006c) V
,,1.6 ×101,Lide and Frederikse (1995) V
,,5.5,Mackay et al. (1995) V
,,5.5 ×10−1,Hwang et al. (1992) V
,,4.9,Meylan and Howard (1991) V
,,1.6 101×,Leuenberger et al. (1985) V 167
,,1.0 101×,Abraham et al. (1994a) R
,,4.1,6600 Goldstein (1982) X 116
,,1.6×101,Howard (1989) X 169
,,5.8 ×10−1,Smith et al. (1993) C
,,5.4×10−1,Ryan et al. (1988) C
,,1.7 ×101,Petrasek et al. (1983) C
,,5.1,Hilal et al. (2008) Q
,,4.6×101,Nirmalakhandan et al. (1997) Q
,,1.4 ×101,Meylan and Howard (1991) Q
,"1-hydroxy-2,5-dimethylbenzene",7.5,6800 Dohnal and Fenclová (1995) M
,C8H10O,1.4,HSDB (2015) V
,"(2,5-xylenol; 2,5-dimethylphenol)",7.5,Mackay et al. (2006c) V
,[95-87-4],7.4,Mackay et al. (1995) V
,,3.8×101,Leuenberger et al. (1985) V 167
,,8.8,Abraham et al. (1994a) R
,,5.2,Hilal et al. (2008) Q
,,4.6 ×101,Nirmalakhandan et al. (1997) Q
,"1-hydroxy-2,6-dimethylbenzene",2.3,6200 Dohnal and Fenclová (1995) M
,C8H10O,1.3,Hawthorne et al. (1985) M
,"(2,6-xylenol; 2,6-dimethylphenol)",2.5,Mackay et al. (2006c) V
,[576-26-1],2.6,Mackay et al. (1995) V
,,2.6,Shiu et al. (1994) V
,,5.2,Leuenberger et al. (1985) V 167
,,2.9,Abraham et al. (1994a) R
,,9.2,Hilal et al. (2008) Q
,,4.6×10,Nirmalakhandan et al. (1997) Q
,"1-hydroxy-3,4-dimethylbenzene",2.4×101,7100 Dohnal and Fenclová (1995) M
,C8H10O,8.2,HSDB (2015) V
,"(3,4-xylenol; 3,4-dimethylphenol)",4.6×101,Mackay et al. (2006c) V
,[95-65-8],4.7 101×,Mackay et al. (1995) V
,,4.7×101,Shiu et al. (1994) V
,,1.1×102,Leuenberger et al. (1985) V 167
,,2.4×101,Abraham et al. (1994a) R
,,4.4,Hilal et al. (2008) Q
,,4.6 101×,Nirmalakhandan et al. (1997) Q
,"1-hydroxy-3,5-dimethylbenzene",1.6 101×,6900 Dohnal and Fenclová (1995) M
,C8H10O,7.6,HSDB (2015) V
,"(3,5-xylenol; 3,5-dimethylphenol)",2.8 101×,Mackay et al. (2006c) V
,[108-68-9],3.1×101,Mackay et al. (1995) V
,,2.5×101,Shiu et al. (1994) V
,,6.2 ×101,Leuenberger et al. (1985) V 167
,,1.6 101×,Abraham et al. (1994a) R
,,3.2,Hilal et al. (2008) Q
,,4.6 ×101,Nirmalakhandan et al. (1997) Q
,4-methylbenzenemethanol,9.0,HSDB (2015) V
,C8H10O,,
,[589-18-4],,
,α-methylbenzyl alcohol,3.4×101,HSDB (2015) Q 38
,C8H10O,,
,[98-85-1],,
,"2,3,5-trimethylphenol",1.2 ×101,Mackay et al. (2006c) V
,C9H12O,1.2×101,Mackay et al. (1995) V
,[697-82-5],,
,"2,4,6-trimethylphenol",3.2,HSDB (2015) V
,C9H12O,1.3,Mackay et al. (2006c) V
,[527-60-6],1.4,Mackay et al. (1995) V
,,9.2,Hilal et al. (2008) Q
,"3,4,5-trimethylphenol",3.4×101,Mackay et al. (2006c) V
,C9H12O,3.8×101,Mackay et al. (1995) V
,[527-54-8],,
,1-hydroxy-2-ethylbenzene,2.1,HSDB (2015) V
,C8H10O,5.6,Mackay et al. (2006c) V
,(2-ethylphenol),,
,[90-00-6],,
,1-hydroxy-3-ethylbenzene,4.9,Karl et al. (2003) M
,C8H10O,1.6×101,Abraham et al. (1994a) R
,(3-ethylphenol),9.0,HSDB (2015) Q 38
,[620-17-7],3.4,Hilal et al. (2008) Q
,,5.4 101×,Nirmalakhandan et al. (1997) Q
,1-hydroxy-4-ethylbenzene,8.2,HSDB (2015) V
,C8H10O,2.1×101,Mackay et al. (2006c) V
,(4-ethylphenol),1.3 101×,Abraham et al. (1994a) R
,[123-07-9],3.8,Hilal et al. (2008) Q
,,5.4×101,Nirmalakhandan et al. (1997) Q
,1-hydroxy-4-propylbenzene,1.7,Mackay et al. (2006c) V
,C9H12O,8.6,Abraham et al. (1994a) R
,(4-propylphenol),3.1,Hilal et al. (2008) Q
,[645-56-7],4.3×101,Nirmalakhandan et al. (1997) Q
,2-(1-methylethyl)-phenol,2.6,Mackay et al. (2006c) V
,C9H12O,2.8,Hilal et al. (2008) Q
,[88-69-7],,
,2-phenylisopropanol,2.6×101,HSDB (2015) Q 38
,C9H12O,,
,[617-94-7],,
,3-methyl-5-ethylphenol,2.9,Hilal et al. (2008) Q
,C9H12O,,
,[698-71-5],,
,"2,3,6-trimethylphenol",2.5,HSDB (2015) V
,C9H12O,1.1×101,Hilal et al. (2008) Q
,[2416-94-6],,
,"2-(1,1-dimethylethyl)phenol",7.0,HSDB (2015) Q 38
,C10H14O,,
,[88-18-6],,
,2-(1-methylpropyl)phenol,4.7,HSDB (2015) Q 38
,C10H14O,,
,[89-72-5],,
,4-(1-methylpropyl)-phenol,3.6,Mackay et al. (2006c) V
,C10H14O,4.3,Mackay et al. (1995) V
,(4-sec-butylphenol),,
,[99-71-8],,
,4-tert-butylphenol,8.9,7700 Parsons et al. (1972) M 168
,C10H14O,1.6×101,Mackay et al. (2006c) V
,[98-54-4],2.1×101,Mackay et al. (1995) V
,,2.1,Hilal et al. (2008) Q
,,2.4×101,Nirmalakhandan et al. (1997) Q
,,2.7,Nirmalakhandan and Speece (1988a) Q
,,1.5 ×10−1,Betterton (1992) ? 172
,,8.8,Abraham et al. (1990) ?
,2-methyl-5-(1-methylethyl)-phenol,2.4,9300 van Roon et al. (2005) V
,C10H14O,,
,(carvacrol),,
,[499-75-2],,
,5-methyl-2-(1-methylethyl)-phenol,3.0,9300 van Roon et al. (2005) V
,C10H14O,2.8,Hilal et al. (2008) Q
,(thymol),,
,[89-83-8],,
,"2-(1,1-dimethylethyl)-4-methylphenol",6.6,HSDB (2015) Q 38
,C11H16O,,
,[2409-55-4],,
,"4-(1,1-dimethylpropyl)phenol",4.9,HSDB (2015) V
,C11H16O,,
,[80-46-6],,
,1-hydroxy-4-octylbenzene,1.3,Mackay et al. (2006c) V
,C14H22O,2.0,Mackay et al. (1995) V
,(4-octylphenol),,
,[1806-26-4],,
,1-hydroxy-4-nonylbenzene,2.9 ×10−1,HSDB (2015) V
,C15H24O,3.6 ×10−1,Mackay et al. (2006c) V
,(4-nonylphenol),6.4×10−1,Mackay et al. (1995) V
,[104-40-5],,
,"4-(1,1,3,3-tetramethylbutyl)-phenol",2.3,9000 Xie et al. (2004) M
,C14H22O,1.4,HSDB (2015) Q 38
,(p-tert-octylphenol),2.2,"Zhang et al. (2010) Q 107, 108"
,[140-66-9],2.3,"Zhang et al. (2010) Q 107, 109"
,,1.0 101×,"Zhang et al. (2010) Q 107, 110"
,,1.8,"Zhang et al. (2010) Q 107, 111"
,"2,6-bis(1,1-dimethylethyl)-4-",2.9 ×10−3,Yoshida et al. (1983) V
,methylphenol,,
,C15H24O,,
,(butylated hydroxytoluene; BHT),,
,[128-37-0],,
,"4-(3’,5’-dimethyl-3’-heptyl)-phenol(+)",2.9,8700 Xie et al. (2004) M
,C15H24O,,
,"4-(3’,5’-dimethyl-3’-heptyl)-phenol(-)",3.3,8600 Xie et al. (2004) M
,C15H24O,,
,2-phenylethanol,>3.7×101,Altschuh et al. (1999) M
,C8H10O,6.6 ×101,HSDB (2015) V
,[60-12-8],3.9 ×101,Abraham et al. (1994a) R
,,1.9×101,Hilal et al. (2008) Q
,,2.4 10−1×,Emel’yanenko et al. (2007) Q 166
,,2.4 ×10−1,Hertel and Sommer (2005) Q 166
,,5.3×101,Nirmalakhandan et al. (1997) Q
,3-phenyl-1-propanol,>1.8 ×102,Altschuh et al. (1999) M
,C9H12O,4.8×101,Abraham et al. (1994a) R
,[122-97-4],1.4×101,Hilal et al. (2008) Q
,,4.2×101,Nirmalakhandan et al. (1997) Q
,4-phenyl-1-butanol,>6.7,Altschuh et al. (1999) M
,C10H14O,1.2×101,Hilal et al. (2008) Q
,[3360-41-6],,
,1-naphthalenol,1.6 ×102,HSDB (2015) V
,C10H8O,2.9×101,Mackay et al. (2006c) V
,(1-naphthol),1.7 102×,Abraham et al. (1994a) R
,[90-15-3],6.9×101,Hilal et al. (2008) Q
,,1.5 103×,Nirmalakhandan et al. (1997) Q
,2-naphthalenol,1.1 102×,Mackay et al. (2006c) V
,C10H8O,3.6×102,Abraham et al. (1994a) R
,(2-naphthol),2.1×102,HSDB (2015) Q 38
,[135-19-3],7.0×101,Hilal et al. (2008) Q
,,,7400 Kühne et al. (2005) Q
,,1.7×103,Nirmalakhandan et al. (1997) Q
,,,7200 Kühne et al. (2005) ?
,o-hydroxybiphenyl,9.4,HSDB (2015) V
,C 12 H 10O,2.9 ×10−1,Mackay et al. (2006c) V
,[90-43-7],3.1 ×101,Hilal et al. (2008) Q
,p-hydroxybiphenyl,1.6×10−1,Mackay et al. (2006c) V
,C12H10O,1.9 ×102,HSDB (2015) Q 38
,[92-69-3],,
,"2,4,6-tris(1,1-dimethylethyl)phenol",1.0,"Zhang et al. (2010) Q 107, 108"
,C 18 H 30O,5.6 ×10−2,"Zhang et al. (2010) Q 107, 109"
,[732-26-3],3.3×10−2,"Zhang et al. (2010) Q 107, 110"
,,5.3 ×10−2,"Zhang et al. (2010) Q 107, 111"
,dehydroabietol,8.4,"Zhang et al. (2010) Q 107, 108"
,C20H30O,1.8×102,"Zhang et al. (2010) Q 107, 109"
,[3772-55-2],2.4×101,"Zhang et al. (2010) Q 107, 110"
,,7.2 ×10−1,"Zhang et al. (2010) Q 107, 111"
,"2,2’-methylenebis(6-(1,1-",1.2 ×106,HSDB (2015) Q 38
,dimethylethyl)-4-methylphenol),,
,C23H32O2,,
,[119-47-1],,
,"2,4-dinonylphenol",1.5×10−1,HSDB (2015) Q 38
,C24H42O,1.6×10−1,"Zhang et al. (2010) Q 107, 108"
,[137-99-5],3.8 10−1×,"Zhang et al. (2010) Q 107, 109"
,,7.0 10−1×,"Zhang et al. (2010) Q 107, 110"
,,2.5 10−1×,"Zhang et al. (2010) Q 107, 111"
,,Poly,ols (R(OH)n)
,"1,2-ethanediol",4.0 ×103,Bone et al. (1983) M 9
,HO(CH2)2OH,1.6×102,Butler and Ramchandani (1935) M 173
,(ethylene glycol),4.7,HSDB (2015) V
,[107-21-1],6.5 103×,8800 Compernolle and Müller (2014b) V
,,5.0 ×103,Hwang et al. (1992) V
,,7.2×102,Hilal et al. (2008) Q
,"1,2-propanediol",7.6 ×102,HSDB (2015) V
,C3H8O2,2.7×103,9500 Compernolle and Müller (2014b) V
,[57-55-6],,"Saxena and Hildemann (1996) E 158, 174"
,"1,3-propanediol",9.1 ×103,Bone et al. (1983) M 9
,C 3 H 8 O2,1.6 ×104,9500 Compernolle and Müller (2014b) V
,[504-63-2],4.0×102,Hilal et al. (2008) Q
,"1,2,3-propanetriol",5.8×102,Butler and Ramchandani (1935) M 173
,C3H8O3,4.7×106,11000 Compernolle and Müller (2014b) V
,(glycerol),5.0 106×,Hwang et al. (1992) V
,[56-81-5],,"Saxena and Hildemann (1996) E 158, 175"
,"1,2-butanediol",>3.4 102×,Altschuh et al. (1999) M
,C4H10O2,2.1×103,9900 Compernolle and Müller (2014b) V
,[584-03-2],,
,"1,3-butanediol",7.0 103×,10000 Compernolle and Müller (2014b) V
,C4H10O2,4.9×104,Saxena and Hildemann (1996) E 158
,[107-88-0],,
,"1,4-butanediol",>9.0 102×,Altschuh et al. (1999) M
,C4H10O2,7.6×103,HSDB (2015) V
,[110-63-4],3.5 104×,11000 Compernolle and Müller (2014b) V
,,8.0×103,Hilal et al. (2008) Q
,,,"Saxena and Hildemann (1996) E 158, 176"
,"2,3-butanediol",3.4 102×,HSDB (2015) V
,C 4 H 10 O2,1.1 ×103,9900 Compernolle and Müller (2014b) V
,[513-85-9],,"Saxena and Hildemann (1996) E 158, 177"
,"2-methylpropane-1,3-diol",4.3 101×,HSDB (2015) Q 38
,C4H10O2,,
,[2163-42-0],,
,"1,2,3-butanetriol",3.0 109×,Saxena and Hildemann (1996) E 158
,C4H10O3,,
,[4435-50-1],,
,"1,2,4-butanetriol",3.0 ×109,Saxena and Hildemann (1996) E 158
,C4H10O3,,
,[3068-00-6],,
,"1,2,3,4-butanetetrol",2.0 ×1014,Saxena and Hildemann (1996) E 158
,C4H10O4,,
,"(1,2,3,4-tetrahydroxybutane)",,
,"2(R),3(S)-1,2,3,4-butanetetrol",1.1×10,16000 Compernolle and Müller (2014b) V
,C4H10O4,3.2×104,HSDB (2015) Q 38
,(erythritol),,
,[149-32-6],,
,"1,2-pentanediol",1.4 ×103,Compernolle and Müller (2014b) V
,C5H12O2,,
,[5343-92-0],,
,"1,4-pentanediol",2.3 ×104,Compernolle and Müller (2014b) V
,C5H12O2,,
,[626-95-9],,
,"1,5-pentanediol",7.0 104×,12000 Compernolle and Müller (2014b) V
,C5H12O2,7.7 ×103,Hilal et al. (2008) Q
,[111-29-5],3.9 ×104,Saxena and Hildemann (1996) E 158
,"2,3-pentanediol",3.0×104,Saxena and Hildemann (1996) E 158
,C5H12O2,,
,[42027-23-6],,
,"2,4-pentanediol",3.8×103,Compernolle and Müller (2014b) V
,C5H12O2,3.0×104,Saxena and Hildemann (1996) E 158
,[625-69-4],,
,"2-(hydroxymethyl)-2-methyl-1,3-",9.0×102,HSDB (2015) Q 38
,propanediol,,
,C5H12O3,,
,[77-85-0],,
,"2,2-bis(hydroxymethyl)1,3-",7.3 ×1010,16000 Compernolle and Müller (2014b) V
,propanediol,,
,C5H12O4,2.4×104,HSDB (2015) Q 38
,(pentaerythritol),,
,[115-77-5],,
,"1,2,3,4,5-pentanepentol",8.9 1018×,Saxena and Hildemann (1996) E 158
,C5H12O5,,
,"(2R,3R,4S)-pentane-1,2,3,4,5-pentol",3.9 1011×,17000 Compernolle and Müller (2014b) V
,C5H12O5,6.6×105,HSDB (2015) Q 38
,(xylitol),,
,[87-99-0],,
,"(2R,3S,4S)-pentane-1,2,3,4,5-pentol",4.6 ×1011,18000 Compernolle and Müller (2014b) V
,C5H12O5,,
,(adonitol; ribitol),,
,[488-81-3],,
,"(2R,4R)-pentane-1,2,3,4,5-pentol",6.7 1011×,18000 Compernolle and Müller (2014b) V
,C5H12O5,,
,(arabitol; arabinitol),,
,[2152-56-9],,
,"1,2-hexanediol",1.7×10,Compernolle and Müller (2014b) V
,C6H14O2,,
,[6920-22-5],,
,"1,6-hexanediol",4.5×104,HSDB (2015) Q 38
,C 6 H14O2,3.0×104,Saxena and Hildemann (1996) E 158
,[629-11-8],,
,"2,5-hexanediol",1.4 ×104,Compernolle and Müller (2014b) V
,C6H14O2,2.0×104,Saxena and Hildemann (1996) E 158
,[2935-44-6],,
,"2-methyl-1,3-pentanediol",3.0×104,Saxena and Hildemann (1996) E 158
,C6H14O2,,
,[149-31-5],,
,"2-methyl-2,4-pentanediol",2.5 ×101,HSDB (2015) Q 38
,C 6 H14O2,2.0×104,Saxena and Hildemann (1996) E 158
,[107-41-5],,
,"1,2,6-hexanetriol",2.0×109,Saxena and Hildemann (1996) E 158
,C6H14O3,,
,[106-69-4],,
,"1,2,3,4,5,6-hexahydroxy hexane",3.9 1023×,Saxena and Hildemann (1996) E 158
,C6H14O6,,
,"(2S,3R,4R,5R)-hexane-1,2,3,4,5,6-",6.6 ×1014,22000 Compernolle and Müller (2014b) V
,hexol,,
,C6H14O6,1.4×107,HSDB (2015) Q 38
,(sorbitol),,
,[50-70-4],,
,"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-",1.8 1015×,22000 Compernolle and Müller (2014b) V
,hexol,,
,C6H14O6,1.4×107,HSDB (2015) Q 38
,(mannitol),,
,[69-65-8],,
,"(2R,3S,4R,5S)-hexane-1,2,3,4,5,6-",9.0×1014,22000 Compernolle and Müller (2014b) V
,hexol,,
,C6H14O6,,
,(dulcitol; galactitol),,
,[608-66-2],,
,"1,2,4,5-cyclohexanetetrol",3.9 1014×,Saxena and Hildemann (1996) E 158
,C6H12O4,,
,"(1,2,4,5-tetrahydroxycyclohexane)",,
,[35652-37-0],,
,"1,2,3,4,5,6-hexahydroxycyclohexane",9.9×1023,Saxena and Hildemann (1996) E 158
,C6H12O6,,
,[87-89-8],,
,"1,7-heptanediol",,Compernolle and Müller (2014b) V 178
,C7H16O2,2.0×104,Saxena and Hildemann (1996) E 158
,[629-30-1],,
,"2,4-heptanediol",2.0×104,Saxena and Hildemann (1996) E 158
,C7H16O2,,
,[20748-86-1],,
,"2,2-diethyl-1,3-propanediol",2.0 104×,Saxena and Hildemann (1996) E 158
,C7H16O2,,
,[115-76-4],,
,"1,2,3,4,5-pentahydroxyheptane",4.9 1018×,Saxena and Hildemann (1996) E 158
,C7H16O5,,
,"1,2,3,4,6-pentahydroxyheptane",3.9×1018,Saxena and Hildemann (1996) E 158
,C7H16O5,,
,"1,2,3,5,7-pentahydroxyheptane",4.9 1018×,Saxena and Hildemann (1996) E 158
,C7H16O5,,
,"1,2,3,4,5,6-hexahydroxyheptane",3.0 ×1023,Saxena and Hildemann (1996) E 158
,C7H16O6,,
,(1-deoxy-heptitol),,
,[688007-16-1],,
,4-methylcyclohexanemethanol,1.5,HSDB (2015) Q 38
,C8H16O,,
,[34885-03-5],,
,"1,4-cyclohexanedimethanol",1.5×105,HSDB (2015) V
,C8H16O2,,
,[105-08-8],,
,"2-ethyl-1,3-hexanediol",1.1×102,Hilal et al. (2008) Q
,C8H18O2,2.0×104,Saxena and Hildemann (1996) E 158
,[94-96-2],,
,"2,2,4-trimethyl-1,3-pentanediol",1.4 ×101,HSDB (2015) Q 38
,C8H18O2,,
,[144-19-4],,
,"2,5-dimethyl-2,5-hexanediol",1.4 ×101,"Zhang et al. (2010) Q 107, 108"
,C8H18O2,1.9×103,"Zhang et al. (2010) Q 107, 109"
,[110-03-2],7.9 102×,"Zhang et al. (2010) Q 107, 110"
,,4.7 ×101,"Zhang et al. (2010) Q 107, 111"
,"1,9-nonanediol",,Compernolle and Müller (2014b) V 179
,C9H20O2,,
,[3937-56-2],,
,"1,10-decanediol",,Compernolle and Müller (2014b) V 180
,C10H22O2,,
,[112-47-0],,
,"2-butene-1,4-diol",>3.4×10,Altschuh et al. (1999) M
,C4H8O2,,
,[110-64-5],,
,"2-butyne-1,4-diol",>2.0×103,Altschuh et al. (1999) M
,C4H6O2,5.8×105,HSDB (2015) V
,"(1,4-dihydroxy-2-butyne)",,
,[110-65-6],,
,"1,2-dihydroxybenzene",8.2×103,HSDB (2015) V
,C6H4(OH)2,1.8×103,Mackay et al. (2006c) V
,(pyrocatechol),1.6×102,Schüürmann (2000) V
,[120-80-9],4.5×101,Mackay et al. (1995) V
,,1.2×103,Hilal et al. (2008) Q
,,,8300 Kühne et al. (2005) Q
,,,7400 Kühne et al. (2005) ?
,"1,3-dihydroxybenzene",1.0×105,HSDB (2015) V
,C6H4(OH)2,8.5×104,Mackay et al. (2006c) V
,(resorcinol),5.0 ×103,Schüürmann (2000) V
,[108-46-3],6.4×104,Goldstein (1982) X 181
,,8.1 ×104,6300 Goldstein (1982) X 116
,,5.3×104,Hilal et al. (2008) Q
,"1,4-dihydroxybenzene",2.6 ×105,HSDB (2015) V
,C6H4(OH)2,2.5×105,Mackay et al. (2006c) V
,(hydroquinone),3.2 104×,Schüürmann (2000) V
,[123-31-9],2.5×105,Mackay et al. (1995) V
,,2.6×105,Meylan and Howard (1991) V
