CID,Melting Point,InChIKey
8462,-2.5,TZGFQIXRVUHDLE-UHFFFAOYSA-N
9782,178.0,UREBDLICKHMUKA-DVTGEIKXSA-N
1923,75.5,MCJGNVYPOGVAJF-UHFFFAOYSA-N
74904,44.0,QZYDOKBVZJLQCK-UHFFFAOYSA-N
62695,-122.2,IAQRGUVFOMOMEM-ONEGZZNKSA-N
6557,-145.9,RRHGJUQNOFWUDK-UHFFFAOYSA-N
7410,20.0,KWOLFJPFCHCOCG-UHFFFAOYSA-N
7983,-91.5,XUPYJHCZDLZNFP-UHFFFAOYSA-N
11335,45.7,NXXYKOUNUYWIHA-UHFFFAOYSA-N
11123,63.5,KQCMTOWTPBNWDB-UHFFFAOYSA-N
93009,29.0,KGEKLUUHTZCSIP-HOSYDEDBSA-N
135373094,31.9,GHVNFZFCNZKVNT-UHFFFAOYSA-N
2969,31.9,GHVNFZFCNZKVNT-UHFFFAOYSA-N
6360,-138.3,NNPPMTNAJDCUHE-UHFFFAOYSA-N
7843,-138.2,IJDNQMDRQITEOD-UHFFFAOYSA-N
6324,-182.8,OTMSDBZUPAUEDD-UHFFFAOYSA-N
127,152.0,XQXPVVBIMDBYFF-UHFFFAOYSA-N
7695,84.0,HFNGYHHRRMSKEU-UHFFFAOYSA-N
14935,125.6,KVBCYCWRDBDGBG-UHFFFAOYSA-N
7064,226.5,GZVHEAJQGPRDLQ-UHFFFAOYSA-N
8918,-26.0,GJQIMXVRFNLMTB-UHFFFAOYSA-N
931,80.2,UFWIBTONFRDIAS-UHFFFAOYSA-N
440917,-86.4333333333,XMGQYMWWDOXHJM-JTQLQIEISA-N
4632,65.5,DXGLGDHPHMLXJC-UHFFFAOYSA-N
7165,-34.0,MTZQAGJQAFMTAQ-UHFFFAOYSA-N
107,107.0,XMIIGOLPHOKFCH-UHFFFAOYSA-N
12093,198.0,SHSGDXCJYVZFTP-UHFFFAOYSA-N
1140,-94.9,YXFVVABEGXRONW-UHFFFAOYSA-N
7674,-29.5,DLRJIFUOBPOJNS-UHFFFAOYSA-N
20994,119.5,DZHMRSPXDUUJER-UHFFFAOYSA-N
1176,132.7,XSQUKJJJFZCRTK-UHFFFAOYSA-N
7932,-10.4,PNPCRKVUWYDDST-UHFFFAOYSA-N
8882,-135.1,LPIQUOYDBNQMRZ-UHFFFAOYSA-N
6431,-100.7,WMIYKQLTONQJES-UHFFFAOYSA-N
66609,93.5,VMZVBRIIHDRYGK-UHFFFAOYSA-N
1254,39.0,NOOLISFMXDJSKH-UHFFFAOYSA-N
7564,66.0,ATGUVEKSASEFFO-UHFFFAOYSA-N
936,130.0,DFPAKSUCGFBDDF-UHFFFAOYSA-N
7948,63.6,TUAMRELNJMMDMT-UHFFFAOYSA-N
7958,-41.5,PTTPXKJBFFKCEK-UHFFFAOYSA-N
7127,-4.0,ZYEMGPIYFIJGTP-UHFFFAOYSA-N
7499,-108.9,BBDKZWKEPDTENS-UHFFFAOYSA-N
10621,262.0,QUQPHWDTPGMPEX-QJBIFVCTSA-N
8184,19.0,KJIOQYGWTQBHNH-UHFFFAOYSA-N
93013,97.0,PSGCQDPCAWOCSH-BOURZNODSA-N
6731,241.0,IZMJMCDDWKSTTK-UHFFFAOYSA-N
26447,-6.0,NFLGAXVYCFJBMK-BDAKNGLRSA-N
7947,-44.7,AUHZEENZYGFFBQ-UHFFFAOYSA-N
8491,66.5,LLYXJBROWQDVMI-UHFFFAOYSA-N
7616,-93.5,YFTHZRPMJXBUME-UHFFFAOYSA-N
222,-77.7,QGZKDVFQNNGYKY-UHFFFAOYSA-N
12138,137.0,UHNUHZHQLCGZDA-UHFFFAOYSA-N
7151,42.5,YNBADRVTZLEFNH-UHFFFAOYSA-N
7403,164.5,KDVYCTOWXSLNNI-UHFFFAOYSA-N
9633,-103.0,GTLACDSXYULKMZ-UHFFFAOYSA-N
10687,72.8,QWBBPBRQALCEIZ-UHFFFAOYSA-N
2788,178.5,QCDFBFJGMNKBDO-UHFFFAOYSA-N
7632,24.5,YXVSKJDFNJFXAJ-UHFFFAOYSA-N
13243,78.0,QAUUDNIGJSLPSX-UHFFFAOYSA-N
