Species,InChIKey,Hcp
propane,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,1.5e-05
butane,IJDNQMDRQITEOD-UHFFFAOYSA-N,1.2e-05
2-methylpropane,NNPPMTNAJDCUHE-UHFFFAOYSA-N,9.1e-06
pentane,OFBQJSOFQDEBGM-UHFFFAOYSA-N,8e-06
2-methylbutane,QWTDNUCVQCZILF-UHFFFAOYSA-N,7.2e-06
dimethylpropane,CRSOQBOWXPBRES-UHFFFAOYSA-N,2.7e-06
hexane,VLKZOEOYAKHREP-UHFFFAOYSA-N,6.1e-06
2-methylpentane,AFABGHUZZDYHJO-UHFFFAOYSA-N,5.9e-06
3-methylpentane,PFEOZHBOMNWTJB-UHFFFAOYSA-N,5.8e-06
"2,2-dimethylbutane",HNRMPXKDFBEGFZ-UHFFFAOYSA-N,5.8e-06
"2,3-dimethylbutane",ZFFMLCVRJBZUDZ-UHFFFAOYSA-N,7.7e-06
heptane,IMNFDUFMRHMDMM-UHFFFAOYSA-N,4.4e-06
2-methylhexane,GXDHCNNESPLIKD-UHFFFAOYSA-N,2.9e-06
3-methylhexane,VLJXXKKOSFGPHI-UHFFFAOYSA-N,4.2e-06
"2,2-dimethylpentane",CXOWYJMDMMMMJO-UHFFFAOYSA-N,3.1e-06
"2,3-dimethylpentane",WGECXQBGLLYSFP-UHFFFAOYSA-N,5.7e-06
"2,4-dimethylpentane",BZHMBWZPUJHVEE-UHFFFAOYSA-N,3.3e-06
"3,3-dimethylpentane",AEXMKKGTQYQZCS-UHFFFAOYSA-N,5.4e-06
3-ethylpentane,AORMDLNPRGXHHL-UHFFFAOYSA-N,5.3e-06
"2,2,3-trimethylbutane",ZISSAWUMDACLOM-UHFFFAOYSA-N,3.2e-06
octane,TVMXDCGIABBOFY-UHFFFAOYSA-N,3.1e-06
2-methylheptane,JVSWJIKNEAIKJW-UHFFFAOYSA-N,2.9e-06
3-methylheptane,LAIUFBWHERIJIH-UHFFFAOYSA-N,2.7e-06
4-methylheptane,CHBAWFGIXDBEBT-UHFFFAOYSA-N,3e-06
"2,2-dimethylhexane",FLTJDUOFAQWHDF-UHFFFAOYSA-N,2.6e-06
"2,3-dimethylhexane",JXPOLSKBTUYKJB-UHFFFAOYSA-N,3.4e-06
