Species,InChIKey,Hcp
shikimic acid,JXOHGGNKMLTUBP-UHFFFAOYSA-N,3.7E+08
4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,1.4E+06
"3,4,5-trihydroxybenzoic acid",LNTHITQWFMADLM-UHFFFAOYSA-N,1.2E+14
3-methylbenzoic acid,GPSDUZXPYCFOSQ-UHFFFAOYSA-N,6.6E+00
2-methylbenzoic acid,ZWLPBLYKEWSWPD-UHFFFAOYSA-N,8.2E+01
4-methylbenzoic acid,LPNBBFKOUUSUDB-UHFFFAOYSA-N,8.2E+01
2-hydroxy-benzoic acid,YGSDEFSMJLZEOE-UHFFFAOYSA-N,8.0E+02
benzeneethanoic acid,WLJVXDMOQOGPHL-UHFFFAOYSA-N,1.5E+02
phthalic anhydride,LGRFSURHDFAFJT-UHFFFAOYSA-N,1.6E+03
"1,2-benzenedicarboxylic acid",XNGIFLGASWRNHJ-UHFFFAOYSA-N,4.9E+05
terephthalic acid,KKEYFWRCBNTPAC-UHFFFAOYSA-N,2.5E+07
isophthalic acid,QQVIHTHCMHWDBS-UHFFFAOYSA-N,4.5E+06
dehydroacetic acid,PGRHXDWITVMQBC-UHFFFAOYSA-N,2.9E+01
caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,7.0E+10
4-methylphthalic anhydride,ZOXBWJMCXHTKNU-UHFFFAOYSA-N,1.4E+00
$p$-{\it tert}-butylbenzoic acid,KDVYCTOWXSLNNI-UHFFFAOYSA-N,3.5E+01
"benzoic acid, anhydride",CHIHQLCVLOXUJW-UHFFFAOYSA-N,7.0E+00
pyromellitic dianhydride,ANSXAPJVJOKRDJ-UHFFFAOYSA-N,1.3E+03
"($Z$,$Z$)-9,12-octadecadienoic acid",OYHQOLUKZRVURQ-HZJYTTRNSA-N,4.9E+01
rosmarinic acid,DOUMFZQKYFQNTF-WUTVXBCWSA-N,3.7E+21
ethanedioic acid,MUBZPKHOEPUJKR-UHFFFAOYSA-N,6.1E+06
propanedioic acid,OFOBLEOULBTSOW-UHFFFAOYSA-N,3.8E+08
butanedioic acid,KDYFGRWQOYBRFD-UHFFFAOYSA-N,2.7E+07
pentanedioic acid,JFCQEDHGNNZCLN-UHFFFAOYSA-N,1.9E+07
hexanedioic acid,WNLRTRBMVRJNCN-UHFFFAOYSA-N,2.1E+06
heptanedioic acid,WLJVNTCWHIRURA-UHFFFAOYSA-N,8.1E+07
octanedioic acid,TYFQFVWCELRYAO-UHFFFAOYSA-N,7.7E+07
nonanedioic acid,BDJRBEYXGGNYIS-UHFFFAOYSA-N,8.9E+07
decanedioic acid,CXMXRPHRNRROMY-UHFFFAOYSA-N,7.6E+07
{\it cis}-butenedioic acid,VZCYOOQTPOCHFL-UPHRSURJSA-N,1.4E+08
methanoic peroxyacid,SCKXCAADGDQQCS-UHFFFAOYSA-N,2.9E+01
ethanoic peroxyacid,KFSLWBXXFJQRDL-UHFFFAOYSA-N,8.3E+00
"1,3-dioxolan-2-one",KMTRUDSVKNLOMY-UHFFFAOYSA-N,3.6E-02
"carbonic acid, dimethyl ester",IEJIGPNLZYLLBP-UHFFFAOYSA-N,1.6E-02
dimethyl dicarbonate,GZDFHIJNHHMENY-UHFFFAOYSA-N,2.2E-02
methyl methanoate,TZIHFWKZFHZASV-UHFFFAOYSA-N,4.1E-02
ethyl methanoate,WBJINCZRORDGAQ-UHFFFAOYSA-N,3.4E-02
propyl methanoate,KFNNIILCVOLYIR-UHFFFAOYSA-N,2.6E-02
isopropyl methanoate,RMOUBSOVHSONPZ-UHFFFAOYSA-N,1.2E-02
(2-methylpropyl)-methanoate,AVMSWPWPYJVYKY-UHFFFAOYSA-N,1.8E-02
"(1,1-dimethylethyl)-methanoate",RUPAXCPQAAOIPB-UHFFFAOYSA-N,1.4E-02
"methanoic acid, pentyl ester",DIQMPQMYFZXDAX-UHFFFAOYSA-N,1.3E-02
isopentyl methanoate,XKYICAQFSCFURC-UHFFFAOYSA-N,1.5E-02
"methanoic acid, hexyl ester",OUGPMNMLWKSBRI-UHFFFAOYSA-N,1.1E-02
methyl ethanoate,KXKVLQRXCPHEJC-UHFFFAOYSA-N,8.1E-02
ethyl ethanoate,XEKOWRVHYACXOJ-UHFFFAOYSA-N,5.9E-02
ethyl ethanoate-1-13C,XEKOWRVHYACXOJ-AZXPZELESA-N,7.1E-02
propyl ethanoate,YKYONYBAUNKHLG-UHFFFAOYSA-N,4.5E-02
"ethanoic acid, 2-propenyl ester",FWZUNOYOVVKUNF-UHFFFAOYSA-N,7.6E-02
isopropyl ethanoate,JMMWKPVZQRWMSS-UHFFFAOYSA-N,3.5E-02
"ethanol, 2-methoxy-, acetate",XLLIQLLCWZCATF-UHFFFAOYSA-N,9.0E+00
glycerol monoacetate,KMZHZAAOEWVPSE-UHFFFAOYSA-N,2.4E+04
"1-propen-2-ol, acetate",HETCEOQFVDFGSY-UHFFFAOYSA-N,5.5E-03
butyl ethanoate,DKPFZGUDAPQIHT-UHFFFAOYSA-N,2.4E-02
{\it sec}-butyl acetate,DCKVNWZUADLDEH-UHFFFAOYSA-N,2.3E-02
"acetic acid, 1,1-dimethylethyl ester",WMOVHXAZOJBABW-UHFFFAOYSA-N,2.4E-02
(2-methylpropyl)-ethanoate,GJRQTCIYDGXPES-UHFFFAOYSA-N,1.9E-02
pentyl ethanoate,PGMYKACGEOXYJE-UHFFFAOYSA-N,3.4E-02
"1,2-propanediol, diacetate",MLHOXUWWKVQEJB-UHFFFAOYSA-N,7.0E+01
"2-pentanol, acetate",GQKZRWSUJHVIPE-UHFFFAOYSA-N,1.2E-02
isopentyl ethanoate,MLFHJEHSLIIPHL-UHFFFAOYSA-N,2.6E-02
hexyl ethanoate,AOGQPLXWSUTHQB-UHFFFAOYSA-N,1.5E-02
4-methyl-2-pentyl ethanoate,CPIVYSAVIPTCCX-UHFFFAOYSA-N,1.7E-02
"acetic acid, cyclohexyl ester",YYLLIJHXUHJATK-UHFFFAOYSA-N,8.2E-02
"ethanol, 2-(2-ethoxyethoxy)-, acetate",FPZWZCWUIYYYBU-UHFFFAOYSA-N,4.3E+02
"acetic acid, phenyl ester",IPBVNPXQWQGGJP-UHFFFAOYSA-N,1.5E-01
"acetic acid, phenylmethyl ester",QUKGYYKBILRGFE-UHFFFAOYSA-N,9.0E-01
2-ethylhexyl ethanoate,WOYWLLHHWAMFCB-UHFFFAOYSA-N,1.1E-02
"ethanol, 2,2'-[1,2-ethanediylbis(oxy)]bis-, diacetate",OVOUKWFJRHALDD-UHFFFAOYSA-N,3.7E+07
1-methoxy-2-propyl ethanoate,LLHKCFNBLRBOGN-UHFFFAOYSA-N,9.9E-01
2-ethoxyethyl ethanoate,SVONRAPFKPVNKG-UHFFFAOYSA-N,1.5E+00
2-butoxyethyl ethanoate,NQBXSWAWVZHKBZ-UHFFFAOYSA-N,1.8E+00
"2-(2-butoxyethoxy)-ethanol, ethanoate",VXQBJTKSVGFQOL-UHFFFAOYSA-N,2.8E+01
"1,2-ethanediol, diethanoate",JTXMVXSTHSMVQF-UHFFFAOYSA-N,1.2E+02
geranyl acetate,HIGQPQRQIQDZMP-DHZHZOJOSA-N,4.1E-03
linalyl acetate,UWKAYLJWKGQEPM-UHFFFAOYSA-N,5.8E-03
"cyclohexanol, 5-methyl-2-(1-methylethyl)-, acetate",XHXUANMFYXWVNG-UHFFFAOYSA-N,1.2E-02
methyl propanoate,RJUFJBKOKNCXHH-UHFFFAOYSA-N,5.7E-02
methyl 2-hydroxypropanoate,LPEKGGXMPWTOCB-UHFFFAOYSA-N,1.2E+03
ethyl propanoate,FKRCODPIKNYEAC-UHFFFAOYSA-N,4.1E-02
propyl propanoate,MCSINKKTEDDPNK-UHFFFAOYSA-N,2.5E-02
isopropyl propanoate,IJMWOMHMDSDKGK-UHFFFAOYSA-N,1.7E-02
(2-methylpropyl)-propanoate,FZXRXKLUIMKDEL-UHFFFAOYSA-N,1.8E-02
pentyl propanoate,TWSRVQVEYJNFKQ-UHFFFAOYSA-N,1.4E-02
"propanoic acid, 2-hydroxy-, ethyl ester",LZCLXQDLBQLTDK-UHFFFAOYSA-N,1.7E+01
"propanoic acid, 2-phenylethyl ester",HVGZQCSMLUDISR-UHFFFAOYSA-N,3.9E-01
methyl butanoate,UUIQMZJEGPQKFD-UHFFFAOYSA-N,3.7E-02
ethyl butanoate,OBNCKNCVKJNDBV-UHFFFAOYSA-N,2.9E-02
propyl butanoate,HUAZGNHGCJGYNP-UHFFFAOYSA-N,1.6E-02
"butanoic acid, 2-methylpropyl ester",RGFNRWTWDWVHDD-UHFFFAOYSA-N,1.3E-02
(2-methylpropyl)-2-methylpropanoate,RXGUIWHIADMCFC-UHFFFAOYSA-N,1.0E-02
"2-methylpropanoic acid, methyl ester",BHIWKHZACMWKOJ-UHFFFAOYSA-N,3.3E-02
"2-methylpropanoic acid, ethyl ester",WDAXFOBOLVPGLV-UHFFFAOYSA-N,2.0E-02
cyclohexyl butanoate,VZHUBBUZNIULNM-UHFFFAOYSA-N,infinit
"3-oxobutanoic acid, methyl ester",WRQNANDWMGAFTP-UHFFFAOYSA-N,3.7E+01
"3-oxobutanoic acid, ethyl ester",XYIBRDXRRQCHLP-UHFFFAOYSA-N,1.1E+01
methyl pentanoate,HNBDRPTVWVGKBR-UHFFFAOYSA-N,3.1E-02
ethyl pentanoate,ICMAFTSLXCXHRK-UHFFFAOYSA-N,2.8E-02
"2-methylbutanoic acid, ethyl ester",HCRBXQFHJMCTLF-UHFFFAOYSA-N,8.9E-03
"3-methylbutanoic acid, ethyl ester",PPXUHEORWJQRHJ-UHFFFAOYSA-N,1.6E-02
"2,2-dimethylpropanoic acid, methyl ester",CNMFHDIDIMZHKY-UHFFFAOYSA-N,2.3E-02
methyl hexanoate,NUKZAGXMHTUAFE-UHFFFAOYSA-N,1.9E-02
ethyl hexanoate,SHZIWNPUGXLXDT-UHFFFAOYSA-N,1.4E-02
"2-ethylbutanoic acid, 1,2-ethanediylbis(oxy-2,1-ethanediyl) ester",JEYLQCXBYFQJRO-UHFFFAOYSA-N,9.9E+05
ethyl heptanoate,TVQGDYNRXLTQAP-UHFFFAOYSA-N,2.0E-02
methyl octanoate,JGHZJRVDZXSNKQ-UHFFFAOYSA-N,9.9E-03
ethyl octanoate,YYZUSRORWSJGET-UHFFFAOYSA-N,1.1E-02
"octadecanoic acid, 2-methylpropyl ester",ORFWYUFLWUWSFM-UHFFFAOYSA-N,2.6E-04
"octadecanoic acid, butyl ester",ULBTUVJTXULMLP-UHFFFAOYSA-N,2.6E-04
methyl nonanoate,IJXHLVMUNBOGRR-UHFFFAOYSA-N,7.0E-03
ethyl nonanoate,BYEVBITUADOIGY-UHFFFAOYSA-N,1.3E-02
"nonanedioic acid, bis(2-ethylhexyl) ester",ZDWGXBPVPXVXMQ-UHFFFAOYSA-N,8.2E-02
methyl decanoate,YRHYCMZPEVDGFQ-UHFFFAOYSA-N,1.1E-02
ethyl decanoate,RGXWDWUGBIJHDO-UHFFFAOYSA-N,1.4E-02
methyl dodecanoate,UQDUPQYQJKYHQI-UHFFFAOYSA-N,8.3E-03
ethyl dodecanoate,MMXKVMNBHPAILY-UHFFFAOYSA-N,7.7E-03
propyl dodecanoate,FTBUKOLPOATXGV-UHFFFAOYSA-N,7.7E-03
butyl dodecanoate,NDKYEUQMPZIGFN-UHFFFAOYSA-N,7.1E-03
2-ethylhexyl dodecanoate,LWLRMRFJCCMNML-UHFFFAOYSA-N,3.0E-03
methyl tetradecanoate,ZAZKJZBWRNNLDS-UHFFFAOYSA-N,5.0E-03
methyl hexadecanoate,FLIACVVOZYBSBS-UHFFFAOYSA-N,2.9E-03
isopropyl palmitate,XUGNVMKQXJXZCD-UHFFFAOYSA-N,2.1E-04
ascorbic palmitate,QAQJMLQRFWZOBN-LAUBAEHRSA-N,7.0E+01
methyl octadecanoate,HPEUJPJOZXNMSJ-UHFFFAOYSA-N,1.7E-03
methyl eicosanoate,QGBRLVONZXHAKJ-UHFFFAOYSA-N,1.0E-03
methyl docosanoate,QSQLTHHMFHEFIY-UHFFFAOYSA-N,5.9E-04
"cyclopropanecarboxylic acid, methyl ester",PKAHQJNJPDVTDP-UHFFFAOYSA-N,4.1E-01
"cyclohexanecarboxylic acid, methyl ester",ZQWPRMPSCMSAJU-UHFFFAOYSA-N,1.1E-01
"($Z$,$Z$,$Z$)-9,12,15-octadecatrienoic acid, methyl ester",DVWSXZIHSUZZKJ-YSTUJMKBSA-N,2.8E-01
"($Z$,$Z$)-9,12-octadecadienoic acid, methyl ester",WTTJVINHCBCLGX-NQLNTKRDSA-N,6.2E-02
"($Z$)-9-octadecenoic acid, methyl ester",QYDYPVFESGNLHU-KHPPLWFESA-N,1.3E-02
"($Z$)-13-docosenoic acid, methyl ester",ZYNDJIBBPLNPOW-KHPPLWFESA-N,5.3E-03
oxacyclohexadecan-2-one,FKUPPRZPSYCDRS-UHFFFAOYSA-N,4.0E-03
2-{\it tert}-butylcyclohexyl acetate,FINOAUDUYKVGDS-UHFFFAOYSA-N,9.9E-03
"2-ethyl-3-oxo-butanoic acid, ethyl ester",OKANYBNORCUPKZ-UHFFFAOYSA-N,3.4E+00
"carbonic acid, diethyl ester",OIFBSDVPJOWBCH-UHFFFAOYSA-N,1.1E-01
"2-hydroxypropanoic acid, butyl ester",MRABAEUHTLLEML-UHFFFAOYSA-N,4.9E+00
methyl propenoate,BAPJBEWLBFYGME-UHFFFAOYSA-N,4.9E-02
ethyl propenoate,JIGUQPWFLRLWPJ-UHFFFAOYSA-N,2.9E-02
"2-propenoic acid, butyl ester",CQEYYJKEWSMYFG-UHFFFAOYSA-N,2.1E-02
"2-propenoic acid, 2-methylpropyl ester",CFVWNXQPGQOHRJ-UHFFFAOYSA-N,1.6E-02
"2-propenoic acid, 2-ethylhexyl ester",GOXQRTZXKQZDDN-UHFFFAOYSA-N,2.3E-02
"2-propenoic acid, 2-hydroxyethyl ester",OMIGHNLMNHATMP-UHFFFAOYSA-N,1.2E+03
"2-methyl-2-propenoic acid, ethyl ester",SUPCQIBBMFXVTL-UHFFFAOYSA-N,1.7E-02
"2-methyl-2-propenoic acid, 2-propenyl ester",FBCQUCJYYPMKRO-UHFFFAOYSA-N,2.4E-02
"2-methyl-2-propenoic acid, oxiranylmethyl ester",VOZRXNHHFUQHIL-UHFFFAOYSA-N,3.2E+01
"2-methyl-2-propenoic acid, propyl ester",NHARPDSAXCBDDR-UHFFFAOYSA-N,1.8E-02
"2-methyl-2-propenoic acid, butyl ester",SOGAXMICEFXMKE-UHFFFAOYSA-N,2.0E-02
"2-methyl-2-propenoic acid, 2-methylpropyl ester",RUMACXVDVNRZJZ-UHFFFAOYSA-N,1.9E-02
"2-methyl-2-propenoic acid, 1,2-ethanediylbis(oxy-2,1-ethanediyl) ester",HWSSEYVMGDIFMH-UHFFFAOYSA-N,5.8E+06
methyl methacrylate,VVQNEPGJFQJSBK-UHFFFAOYSA-N,4.3E-02
($E$)-3-hexenyl ethanoate,NPFVOOAXDOBMCE-SNAWJCMRSA-N,3.3E-02
($Z$)-3-hexenyl ethanoate,NPFVOOAXDOBMCE-PLNGDYQASA-N,3.1E-02
ethenyl ethanoate,XTXRWKRVRITETP-UHFFFAOYSA-N,1.9E-02
"3-(4-methoxyphenyl)-2-propenoic acid, 2-ethylhexyl ester",YBGZDTIWKVFICR-JLHYYAGUSA-N,1.2E+00
methyl benzoate,QPJVMBTYPHYUOC-UHFFFAOYSA-N,3.0E-01
ethyl benzoate,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,9.7E-02
2-hydroxybenzoic acid methyl ester,OSWPMRLSEDHDFF-UHFFFAOYSA-N,1.1E+01
"benzoic acid, 4-methyl-, methyl ester",QSSJZLPUHJDYKF-UHFFFAOYSA-N,2.6E-01
"1,4-benzenedicarboxylic acid, dimethyl ester",WOZVHXUHUFLZGK-UHFFFAOYSA-N,7.6E-02
butyl benzoate,XSIFPSYPOVKYCO-UHFFFAOYSA-N,1.2E-01
diphenyl carbonate,ROORDVPLFPIABK-UHFFFAOYSA-N,1.2E-01
benzyl benzoate,SESFRYSPDFLNCH-UHFFFAOYSA-N,1.8E+00
dimethyl phthalate,NIQCNGHVCWTJSM-UHFFFAOYSA-N,4.9E+01
"1,4-cyclohexanedicarboxylic acid, dimethyl ester",LNGAGQAGYITKCW-UHFFFAOYSA-N,1.0E+02
"1,3-benzenedicarboxylic acid, dimethyl ester",VNGOYPQMJFJDLV-UHFFFAOYSA-N,1.6E+02
diethyl phthalate,FLKPEMZONWLCSK-UHFFFAOYSA-N,1.6E+01
dipropyl phthalate,MQHNKCZKNAJROC-UHFFFAOYSA-N,1.8E+01
diallyl phthalate,QUDWYFHPNIMBFC-UHFFFAOYSA-N,3.5E+01
bis(2-methoxyethyl) phthalate,HSUIVCLOAAJSRE-UHFFFAOYSA-N,2.3E+01
dibutyl phthalate,DOIRQSBPFJWKBE-UHFFFAOYSA-N,9.3E+00
diisobutyl phthalate,MGWAVDBGNNKXQV-UHFFFAOYSA-N,3.5E+00
"1,2-benzenedicarboxylic acid, butyl cyclohexyl ester",BHKLONWXRPJNAE-UHFFFAOYSA-N,1.0E+01
butyl glycolyl butyl phthalate,GOJCZVPJCKEBQV-UHFFFAOYSA-N,4.7E+02
diamyl phthalate,IPKKHRVROFYTEK-UHFFFAOYSA-N,1.1E+01
butyl benzyl phthalate,IRIAEXORFWYRCZ-UHFFFAOYSA-N,1.0E+02
dihexyl phthalate,KCXZNSGUUQJJTR-UHFFFAOYSA-N,3.8E-01
butyl 2-ethylhexyl phthalate,AVOLBYOSCILFLL-UHFFFAOYSA-N,2.1E+00
diphenyl terephthalate,HPGJOUYGWKFYQW-UHFFFAOYSA-N,3.2E+02
dicyclohexyl phthalate,VOWAEIGWURALJQ-UHFFFAOYSA-N,9.9E+01
bis(2-butoxyethyl) phthalate,CMCJNODIWQEOAI-UHFFFAOYSA-N,4.9E+06
diheptyl phthalate,JQCXWCOOWVGKMT-UHFFFAOYSA-N,5.9E-01
dioctyl phthalate,MQIUGAXCHLFZKX-UHFFFAOYSA-N,3.8E+00
diisooctyl phthalate,IJFPVINAQGWBRJ-UHFFFAOYSA-N,3.2E-01
decyl hexyl phthalate,OMQBXAQAHHFSST-UHFFFAOYSA-N,1.6E+02
bis(2-ethylhexyl)-phthalate,BJQHLKABXJIVAM-UHFFFAOYSA-N,3.7E+01
bis(2-ethylhexyl) terephthalate,RWPICVVBGZBXNA-UHFFFAOYSA-N,9.9E-01
dinonyl phthalate,DROMNWUQASBTFM-UHFFFAOYSA-N,1.1E-01
diisononyl phthalate,HBGGXOJOCNVPFY-UHFFFAOYSA-N,6.6E+00
didecyl phthalate,PGIBJVOPLXHHGS-UHFFFAOYSA-N,4.6E-02
diisodecyl phthalate,ZVFDTKUVRCTHQE-UHFFFAOYSA-N,9.0E+00
diundecyl phthalate,QQVHEQUEHCEAKS-UHFFFAOYSA-N,3.3E+01
ditridecyl phthalate,YCZJVRCZIPDYHH-UHFFFAOYSA-N,3.6E-03
"ethanedioic acid, dimethyl ester",LOMVENUNSWAXEN-UHFFFAOYSA-N,6.9E+00
"propanedioic acid, dimethyl ester",BEPAFCGSDWSTEL-UHFFFAOYSA-N,3.8E+01
"propanedioic acid, diethyl ester",IYXGSMUGOJNHAZ-UHFFFAOYSA-N,3.9E+00
"butanedioic acid, dimethyl ester",MUXOBHXGJLMRAB-UHFFFAOYSA-N,3.0E+01
diethyl succinate,DKMROQRQHGEIOW-UHFFFAOYSA-N,4.0E+00
($Z$)-2-butenedioic acid dimethyl ester,LDCRTTXIJACKKU-ARJAWSKDSA-N,2.3E+01
diethyl pimelate,LKKOGZVQGQUVHF-UHFFFAOYSA-N,1.5E+00
"1,3-benzenedicarboxylic acid, diethyl ester",JLVWYWVLMFVCDI-UHFFFAOYSA-N,2.5E+01
"2,6-naphthalenedicarboxylic acid, dimethyl ester",GYUVMLBYMPKZAZ-UHFFFAOYSA-N,4.5E+02
di-(2-ethylhexyl)-adipate,SAOKZLXYCUGLFA-UHFFFAOYSA-N,2.3E+01
"peroxybenzoic acid, {\it tert}-butyl ester",GJBRNHKUVLOCEB-UHFFFAOYSA-N,4.7E-02
"neodecaneperoxoic acid, 1,1-dimethylethyl ester",NMOALOSNPWTWRH-UHFFFAOYSA-N,9.9E-04
"neoheptaneperoxoic acid, 1-methyl-1-phenylethyl ester",WFAUFYAGXAXBEG-UHFFFAOYSA-N,3.8E-02
hydroxypropyl acrylate,AYEFIAVHMUFQPZ-UHFFFAOYSA-N,5.8E+03
2-hydroxyethyl methacrylate,WOBHKFSMXKNTIM-UHFFFAOYSA-N,2.1E+03
2-hydroxypropyl acrylate,GWZMWHWAWHPNHN-UHFFFAOYSA-N,1.6E+03
dimethyl fumarate,LDCRTTXIJACKKU-ONEGZZNKSA-N,1.4E+01
"hexanedioic acid, dimethyl ester",UDSFAEKRVUSQDD-UHFFFAOYSA-N,1.0E+01
methyl 4-hydroxybenzoate,LXCFILQKKLGQFO-UHFFFAOYSA-N,4.5E+03
diethyl fumarate,IEPRKVQEAMIZSS-AATRIKPKSA-N,4.1E+02
diethyl adipate,VIZORQUEIQEFRT-UHFFFAOYSA-N,2.7E+00
propyl 4-hydroxybenzoate,QELSKZZBTMNZEB-UHFFFAOYSA-N,1.5E+03
diethylene glycol diacrylate,LEJBBGNFPAFPKQ-UHFFFAOYSA-N,1.0E+04
"(2,2-dimethyl-3-prop-2-enoyloxypropyl) prop-2-enoate",MXFQRSUWYYSPOC-UHFFFAOYSA-N,2.7E+01
methyl jasmonate,GEWDNTWNSAZUDX-NNOMMRTBSA-N,7.0E+02
cinoxate,CMDKPGRTAQVGFQ-RMKNXTFCSA-N,1.9E+03
trimethylolpropane triacrylate,DAKWPKUUDNSNPN-UHFFFAOYSA-N,1.6E+04
benzyl cinnamate,NGHOLYJTSCBCGC-VAWYXSNFSA-N,3.0E+01
"2,2,4-trimethyl-1,3-pentanediol diisobutyrate",OMVSWZDEEGIJJI-UHFFFAOYSA-N,9.0E-01
"nonanedioic acid, dibutyl ester",RISLXYINQFKFRL-UHFFFAOYSA-N,8.2E-01
isopropyl myristate,AXISYYRBXTVTFY-UHFFFAOYSA-N,4.2E-04
"decanedioic acid, dibutyl ester",PYGXAGIECVVIOZ-UHFFFAOYSA-N,2.1E+02
diethylene glycol dibenzoate,NXQMCAOPTPLPRL-UHFFFAOYSA-N,3.3E+06
"12-hydroxy-9-octadecenoic acid, methyl ester",XKGDWZQXVZSXAO-RAXLEYEMSA-N,6.7E+01
"chrysanthemumic acid 2,4-dimethylbenzyl ester",FHNKBSDJERHDHZ-UHFFFAOYSA-N,1.3E-01
tributyl acetylcitrate,QZCLKYGREBVARF-UHFFFAOYSA-N,2.6E+04
"hexanedioic acid, dioctyl ester",NEHDRDVHPTWWFG-UHFFFAOYSA-N,2.3E+01
diisooctyl adipate,CJFLBOQMPJCWLR-UHFFFAOYSA-N,1.9E-01
"hexanedioic acid, bis[2-(2-butoxyethoxy)ethyl] ester",SCABKEBYDRTODC-UHFFFAOYSA-N,3.2E+07
"1,2-benzenedicarboxylic acid, decyl octyl ester",LVAGMBHLXLZJKZ-UHFFFAOYSA-N,4.7E-01
"phthalic acid, isodecyl octyl ester",UXLBXTIBYMXRNX-UHFFFAOYSA-N,4.7E-01
diisononyl hexahydrophthalate,HORIEOQXBKUKGQ-UHFFFAOYSA-N,1.4E-01
"decanedioic acid, bis(2-ethylhexyl) ester",VJHINFRRDQUWOJ-UHFFFAOYSA-N,1.2E-01
glycerol tricaprylate,VLPFTAMPNXLGLX-UHFFFAOYSA-N,3.9E+02
tris(2-ethylhexyl) trimellitate,KRADHMIOFJQKEZ-UHFFFAOYSA-N,2.2E+01
emamectin benzoate,WQYWHGOKYSMVFW-YXCDHJPISA-N,5.8E+03
dimethyl ether,LCGLNKUTAGEVQW-UHFFFAOYSA-N,1.7E-03
ethyl methyl ether,XOBKSJJDNFUZPF-UHFFFAOYSA-N,1.4E-02
diethyl ether,RTZKZFJDLAIYFH-UHFFFAOYSA-N,5.0E-03
diethyl ether-d10,RTZKZFJDLAIYFH-MWUKXHIBSA-N,1.3E-02
methyl propyl ether,VNKYTQGIUYNRMY-UHFFFAOYSA-N,6.7E-03
methyl 2-propyl ether,RMGHERXMTMUMMV-UHFFFAOYSA-N,1.2E-02
divinyl ether,QYKIQEUNHZKYBP-UHFFFAOYSA-N,5.4E-04
methyl butyl ether,CXBDYQVECUFKRK-UHFFFAOYSA-N,4.4E-03
2-methoxybutane,FVNIMHIOIXPIQT-UHFFFAOYSA-N,6.2E-03
methyl {\it tert}-butyl ether,BZLVMXJERCGZMT-UHFFFAOYSA-N,1.7E-02
ethyl propyl ether,NVJUHMXYKCUMQA-UHFFFAOYSA-N,8.6E-03
1-ethoxy-butane,PZHIWRCQKBBTOW-UHFFFAOYSA-N,6.4E-03
ethyl {\it tert}-butyl ether,NUMQCACRALPSHD-UHFFFAOYSA-N,6.3E-03
2-methoxy-2-methylbutane,HVZJRWJGKQPSFL-UHFFFAOYSA-N,8.6E-03
dipropyl ether,POLCUAVZOMRGSN-UHFFFAOYSA-N,3.0E-03
diisopropyl ether,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,3.9E-03
2-ethyl-2-ethoxypropane,KFRVYYGHSPLXSZ-UHFFFAOYSA-N,2.4E-03
dibutyl ether,DURPTKYDGMDSBL-UHFFFAOYSA-N,2.2E-03
diisobutyl ether,SZNYYWIUQFZLLT-UHFFFAOYSA-N,3.7E-03
"1,1'-oxybispentane",AOPDRZXCEAKHHW-UHFFFAOYSA-N,2.7E-03
"1,1'-oxybis(3-methylbutane)",AQZGPSLYZOOYQP-UHFFFAOYSA-N,6.6E-03
"1,1'-oxybishexane",BPIUIOXAFBGMNB-UHFFFAOYSA-N,1.8E-03
"1-ethoxy-3,7-dimethyloctane",HCHHIPCZJSRFRT-UHFFFAOYSA-N,6.7E-04
methoxycyclohexane,GHDIHPNJQVDFBL-UHFFFAOYSA-N,3.1E-02
methyl cedryl ether,HRGPYCVTDOECMG-WALBABNVSA-N,2.5E-03
dimethoxymethane,NKDDWNXOKDWJAK-UHFFFAOYSA-N,6.1E-02
trimethoxymethane,PYOKUURKVVELLB-UHFFFAOYSA-N,6.9E-01
"1,1-diethoxyethane",DHKHKXVYLBGOIT-UHFFFAOYSA-N,1.0E-01
"1,2-diethoxyethane",LZDKZFUFMNSQCJ-UHFFFAOYSA-N,1.6E-01
"1,1,1-trimethoxyethane",HDPNBNXLBDFELL-UHFFFAOYSA-N,6.4E-01
"1,2-dimethoxyethane",XTHFKEDIFFGKHM-UHFFFAOYSA-N,1.4E+00
3-oxa-1-hexanol,YEYKMVJDLWJFOA-UHFFFAOYSA-N,2.0E+01
3-oxa-1-heptanol,POAOYUHQDCAZBD-UHFFFAOYSA-N,3.5E+00
1-methoxy-2-propanol,ARXJGSRGQADJSQ-UHFFFAOYSA-N,4.8E+00
4-methyl-3-oxa-1-pentanol,HCGFUIQPSOCUHI-UHFFFAOYSA-N,4.8E+00
"1,2-dibutoxyethane",GDXHBFHOEYVPED-UHFFFAOYSA-N,9.9E-01
"3,6-dioxa-1-decanol",OAYXUHPQHDHDDZ-UHFFFAOYSA-N,1.4E+03
"1,1'-[oxybis(2,1-ethanediyloxy)]bisbutane",KZVBBTZJMSWGTK-UHFFFAOYSA-N,3.5E+00
methoxyethene,XJRBAMWJDBPFIM-UHFFFAOYSA-N,1.5E-03
1-(ethenyloxy)butane,UZKWTJUDCOPSNM-UHFFFAOYSA-N,4.5E-03
vinylisobutyl ether,OZCMOJQQLBXBKI-UHFFFAOYSA-N,1.9E-04
