1,2
3-phenyl-2-propenal,2.8
C9H8O,1.4
(cinnamaldehyde),
[104-55-2],
α-amyl cinnamaldehyde,1.3
C14H18O,
[122-40-7],
ethanedial,4.1×103
OHCCHO,4.9×105
(glyoxal),4.1 ×103
[107-22-2],
pentanedial,3.0×102
OHC(CH2)3CHO,4.1 ×102
(glutaraldehyde),
[111-30-8],
propanone,2.7 10−1×
CH 3 COCH3,3.3 ×10−1
(acetone),2.8 −1×10
[67-64-1],2.6×10−1
propanone-2-13C,3.1 10−1×
CH3COCH3,
(acetone-2-13C),
[3881-06-9],
1-hydroxypropanone,7.7 ×101
CH3COCH2OH,
(hydroxyacetone),
[116-09-6],
butanone,1.8×10−1
C2H5COCH3,1.8 ×10−1
(methyl ethyl ketone; MEK),1.9×10−1
[78-93-3],1.8×10−1
"butanone-1,1,1,3,3-d5",3.7×10−1
C2H5COCH3,
(methyl ethyl ketone-d5; MEK-d5),
[24313-50-6],
2-pentanone,1.6×10−1
C3H7COCH3,1.0×10−1
[107-87-9],8.6 10−2×
3-pentanone,1.6×10
C2H5COC2H5,7.0×10−2
[96-22-0],9.7 10−5×
1-cyclopropyl-ethanone,9.5×10−1
C5H8O,
(cyclopropyl methyl ketone),4.8×10−1
[765-43-5],6.4×10−1
3-methyl-2-butanone,8.7×10−2
C5H10O,9.6×10−2
(isopropyl methyl ketone),9.0×10−2
[563-80-4],
cyclopentanone,8.2 10−1×
C5H8O,1.1
[120-92-3],
2-hexanone,1.5 10−1×
C6H12O,7.9×10−2
[591-78-6],1.1×10−1
"2-hexanone-1,1,1,3,3-d5",1.7×10−1
C6H12O,
[4840-82-8],
3-hexanone,
C 6 H 12O,6.9 ×10−2
[589-38-8],
3-methyl-2-pentanone,7.3 10−2×
C6H12O,9.6×10−2
[565-61-7],
4-methyl-2-pentanone,3.9 −2×10
(CH3)2CHCH2COCH3,1.0×10−1
(methyl isobutyl ketone; MIBK),3.9×10−2
[108-10-1],4.3 10−2×
2-methyl-3-pentanone,6.5 10−2×
C6H12O,6.4×10−2
[565-69-5],
"3,3-dimethyl-2-butanone",4.5×10
C6H12O,7.6×10−2
(tert-butyl methyl ketone),
[75-97-8],4.7×10−2
cyclohexanone,8.2×10−1
C6H10O,1.1
[108-94-1],3.8×10−1
2-heptanone,5.9 ×10−2
C7H14O,6.8×10−2
[110-43-0],6.2 ×10−2
3-heptanone,1.1 ×10−1
C7H14O,
[106-35-4],
4-heptanone,4.1×10
C 7 H 14O,5.6 ×10−2
[123-19-3],4.8×10−2
3-methyl-2-hexanone,3.2 10−2×
C7H14O,
[2550-21-2],
4-methyl-2-hexanone,3.3×10−2
C7H14O,
[105-42-0],
5-methyl-2-hexanone,6.2 10−2×
C7H14O,7.7×10−2
[110-12-3],
2-methyl-3-hexanone,4.1×10−2
C7H14O,
[7379-12-6],
4-methyl-3-hexanone,3.7 10−2×
C7H14O,
[17042-16-9],
5-methyl-3-hexanone,3.7 ×10−2
C7H14O,
[623-56-3],
3-ethyl-2-pentanone,3.4×10−2
C7H14O,
[6137-03-7],
"3,3-dimethyl-2-pentanone",4.5 10−2×
C7H14O,
[20669-04-9],
"3,4-dimethyl-2-pentanone",4.3 10−2×
C7H14O,
[565-78-6],
"4,4-dimethyl-2-pentanone",5.5 10−2×
C7H14O,
[590-50-1],
"2,2-dimethyl-3-pentanone",5.5 10−2×
C7H14O,
[564-04-5],
"2,4-dimethyl-3-pentanone",4.1×10
C7H14O,9.5 ×10−1
(diisopropyl ketone),
[565-80-0],3.5×10−2
cycloheptanone,7.0×10−1
C7H12O,
[502-42-1],
2-methylcyclohexanone,
C7H12O,
[583-60-8],
4-methylcyclohexanone,
C7H12O,
[589-92-4],
dicyclopropylmethanone,3.1
C7H10O,
(dicyclopropyl ketone),
[1121-37-5],
2-octanone,5.2 10−2×
C6H13COCH3,4.9 ×10−2
[111-13-7],4.9 ×10−2
3-octanone,7.6×10−2
C8H16O,
[106-68-3],
4-octanone,3.6 ×10−2
C8H16O,
[589-63-9],
6-methyl-3-heptanone,3.7 10−2×
C8H16O,
[624-42-0],
cyclohexyl methyl ketone,2.9×10−1
C6H11COCH3,4.1×10−1
[823-76-7],3.1 10−1×
2-nonanone,4.1×10
C 7 H15COCH3,2.7×10−2
[821-55-6],
5-nonanone,3.5×10−2
C9H18O,3.4×10−2
(dibutyl ketone),3.7 10−2×
[502-56-7],2.7×10−2
"2,6-dimethyl-4-heptanone",8.2 ×10−2
C9H18O,3.1×10−2
(diisobutyl ketone),
[108-83-8],
"2,2,4,4-tetramethyl-3-pentanone",2.3×10−2
C9H18O,
(di-(tert-butyl) ketone),
[815-24-7],
2-decanone,2.1 ×10−2
C8H17COCH3,3.4×10−2
[693-54-9],1.4 10−1×
2-undecanone,1.6×10−2
C9H19COCH3,2.7 ×10−2
[112-12-9],2.8 10−2×
6-undecanone,1.5 10−2×
C11H22O,
[927-49-1],
2-dodecanone,2.1×10−3
C12H24O,
[6175-49-1],
2-tridecanone,6.7×10
C13H26O,
[593-08-8],
2-tetradecanone,2.1 10−4×
C14H28O,
[2345-27-9],
2-pentadecanone,5.4×10−5
C15H30O,
[2345-28-0],
2-hexadecanone,1.7 ×10−5
C16H32O,
[18787-63-8],
2-heptadecanone,3.9 −6×10
C17H34O,
[2922-51-2],
menthone,5.7 ×10−2
C10H18O,5.0×10−2
[89-80-5],6.2×10−2
"tricyclo[3.3.1.1(3,7)]decanone",1.4
C10H14O,7.5×10−1
(2-adamantanone),
[700-58-3],
3-buten-2-one,2.6×10−1
C4H6O,4.0 ×10−1
(methyl vinyl ketone; MVK),2.1 ×10−1
[78-94-4],1.8 10−1×
4-methyl-3-penten-2-one,2.7 ×10−1
C 6 H10O,1.8×10−1
[141-79-7],
1-phenylethanone,1.1
C6H5COCH3,9.7×10−1
(acetophenone),9.7 10−1×
[98-86-2],9.3×10−1
1-phenylethanone-d5,2.3
C6D5COCH3,
(acetophenone-d5),
[28077-64-7],
phenyl ethyl ketone,7.6 10−2×
C9H10O,7.5×10−1
(propiophenone),7.2×10−1
[93-55-0],1.6
4-methoxy-4-methyl-2-pentanone,5.1
C7H14O2,1.8
[107-70-0],
(4-methylphenyl)-ethanone,1.1
C9H10O,1.2
(4-methylacetophenone),3.8×10−1
[122-00-9],
4-methoxyphenyl methyl ketone,6.8 10−1×
C9H10O2,6.9
[100-06-1],1.3
2-methyl-5-(1-methylethenyl)-2-,4.9 10−1×
cyclohexen-1-one,
C 10 H 14O,5.5 ×10−1
(carvone),8.0 ×10−1
[6485-40-1],
benzophenone,1.7 101×
C13H10O,6.1
(diphenyl ketone),5.2
[119-61-9],5.1
"3,5,5-trimethyl-2-cyclohexen-1-one",1.5
C9H14O,1.7
(isophorone),1.7
[78-59-1],1.7
bicyclo[2.2.1]heptan-2-one,4.3×10
C7H10O,
(norcamphor; 2-norbornanone),
[497-38-1],
4-methyl-1-(1-methylethyl)-,1.0 10−1×
bicyclo[3.1.0]hexan-3-one,
C10H16O,
(thujone),
[1125-12-8],
isopropyl phenyl ketone,5.7×10−1
C10H12O,3.9 ×10−1
[611-70-1],1.7
carvone,1.3 10−1×
C10H14O,
[99-49-0],
thujone,6.2 10−1×
C10H16O,
[76231-76-0],
9H-fluoren-9-one,1.5×101
C13H8O,
[486-25-9],
anthrone,1.2 ×101
C14H10O,
[90-44-8],
"1,2,3,5,6,7-hexahydro-1,1,2,3,3-",7.0×10−2
pentamethyl-4H-inden-4-one,
C14H22O,6.7×10−3
[33704-61-9],2.0 101×
"2,4,6-trimethylbenzophenone",3.8
C16H16O,3.8
[954-16-5],1.5×101
"1-(1,2,3,5,6,7,8,8a-octahydro-2,3,8,8-",2.5×10−2
tetramethyl-2-naphthyl)ethan-1-one,
C16H26O,3.0×10−1
[68155-66-8],1.1×101
"1-(2,3-dihydro-1,1,2,3,3,6-hexamethyl-",3.1 ×10−1
1H-inden-5-yl)ethanone,
C17H24O,2.0
[15323-35-0],5.2
celestolide,3.1×10
C17H24O,2.4
[13171-00-1],3.1
7H-benz[de]anthracen-7-one,1.5 102×
C17H10O,
(benzanthrone),
[82-05-3],
"1-[2,3-dihydro-1,1,2,6-tetramethyl-",2.3 10−1×
3-(1-methylethyl)-1H-inden-5-,
yl]ethanone,
C18H26O,3.2
[68140-48-7],4.4
tonalid,7.0 10−2×
C18H26O,2.3×10−1
[21145-77-7],2.4
"2,3-butanedione",7.3×10−1
CH 3 COCOCH3,5.6 ×10−1
(biacetyl; dimethylglyoxal),5.6 ×10−1
[431-03-8],1.0
"2,4-pentanedione",1.7
C5H8O2,4.3
(acetylacetone),1.7×101
[123-54-6],
"1,2-naphthalenedione",2.3×103
C10H6O2,
[524-42-5],
"1,4-naphthalenedione",5.0×103
C10H6O2,
"(1,4-naphthoquinone)",
[130-15-4],
menadione,3.2×10
C11H8O2,
[58-27-5],
"2,6-di-tert-butyl-p-benzoquinone",6.2 ×102
C14H20O2,
[719-22-2],
"9,10-phenanthrenedione",3.7×103
C14H8O2,
[84-11-7],
dibenzoylmethane,7.5 ×103
C15H12O2,8.0×102
[120-46-7],6.9×104
"2-ethyl-9,10-anthracenedione",2.1 103×
C16H12O2,4.2×102
[84-51-5],1.6×102
"9,10-anthracenedione",4.2×102
C14H8O2,3.1×103
[84-65-1],5.6×102
Carboxylic acids (R,COOH) a
methanoic acid,8.8×101
HCOOH,8.8 101×
(formic acid),6.7 ×101
[64-18-6],8.8 ×101
ethanoic acid,4.0 ×101
CH3COOH,4.0×101
(acetic acid),4.6 ×101
[64-19-7],1.4×101
propanoic acid,1.5×101
C2H5COOH,5.6×101
(propionic acid),5.5 101×
[79-09-4],6.1×101
butanoic acid,9.7
C3H7COOH,4.7 ×101
(butyric acid),4.5×101
[107-92-6],1.8 ×101
2-methylpropanoic acid,9.6
(CH3)2CHCOOH,1.1×101
(isobutyric acid),1.1 101×
[79-31-2],5.6×101
pentanoic acid,2.3 101×
C4H9COOH,1.2×101
(valeric acid),2.3×101
[109-52-4],2.1×101
2-methylbutanoic acid,1.6×101
C5H10O2,
[116-53-0],
3-methylbutanoic acid,1.1 ×101
(CH3)2CHCH2COOH,1.2×101
(isovaleric acid),1.2×101
[503-74-2],1.2 ×101
"2,2-dimethylpropanoic acid",3.5
(CH3)3CCOOH,3.5
(pivalic acid),1.2 ×101
[75-98-9],
hexanoic acid,1.3 101×
C5H11COOH,7.5
(caproic acid),1.3×101
[142-62-1],1.3 ×101
2-methylpentanoic acid,1.1 ×101
C6H12O2,
[97-61-0],
2-ethylbutanoic acid,9.0
C6H12O2,
[88-09-5],
heptanoic acid,9.6
C7H14O2,
[111-14-8],
"4,4-dimethylpentanoic acid",4.3
C7H14O2,1.4×101
[95823-36-2],1.6×103
2-ethyl-2-methylbutanoic acid,4.3
C7H14O2,5.4
[19889-37-3],2.3×102
octanoic acid,1.5 10−1×
C8H16O2,1.5×10−1
(caprylic acid),7.6
[124-07-2],
2-ethylhexanoic acid,3.5
C8H16O2,3.4
[149-57-5],
nonanoic acid,3.8
C9H18O2,6.9
(pelargic acid),9.9
[112-05-0],
decanoic acid,6.5
C10H20O2,7.7
[334-48-5],
"3,3,5,5-tetramethylhexanoic acid",1.9
C10H20O2,3.5
undecanoic acid,5.8
C11H22O2,
[112-37-8],
dodecanoic acid,4.5
C12H24O2,
[143-07-7],
octadecanoic acid,2.5 105×
C 18 H 36 O2,8.4 ×10−1
(stearic acid),
[57-11-4],
propenoic acid,3.1 ×101
C3H4O2,2.2×101
(acrylic acid),2.4 ×101
[79-10-7],
(E)-2-butenoic acid,4.1 ×101
C4H6O2,2.3×101
(crotonic acid),
[3724-65-0],
(Z)-2-butenoic acid,2.3×101
C4H6O2,
(isocrotonic acid),
[503-64-0],
2-methyl-2-propenoic acid,2.5 ×101
C4H6O2,1.0
(methacrylic acid),1.9×101
[79-41-4],
benzenecarboxylic acid,2.9×102
C6H5COOH,2.5×102
(benzoic acid),1.4 ×102
[65-85-0],2.1
sorbic acid,2.0×10
C6H8O2,
[110-44-1],
D(-)-isoascorbic acid,2.4 102×
C6H8O6,
(erythorbic acid),
[89-65-6],
shikimic acid,3.7 ×108
C7H10O5,
[138-59-0],
4-hydroxybenzoic acid,1.4×106
C7H6O3,
[99-96-7],
"3,4,5-trihydroxybenzoic acid",1.2 1014×
C7H6O5,
(gallic acid),
[149-91-7],
3-methylbenzoic acid,6.6
C7H7COOH,1.4×10−1
(m-toluic acid),8.2 101×
[99-04-7],1.2×102
2-methylbenzoic acid,8.2 ×101
C8H8O2,3.2×101
(o-toluic acid),9.9 101×
[118-90-1],1.1×102
4-methylbenzoic acid,8.2×101
C 8 H8O2,1.4×102
(p-toluic acid),8.8 ×102
[99-94-5],1.1 ×102
2-hydroxy-benzoic acid,8.0×102
C 7 H 6 O3,6.9 ×102
(salicylic acid),1.8
[69-72-7],
benzeneethanoic acid,1.5 ×102
C8H8O2,1.8×102
(phenylacetic acid),1.4×101
[103-82-2],9.9×102
phthalic anhydride,1.6×103
C8H4O3,
[85-44-9],
"1,2-benzenedicarboxylic acid",4.9×10
C8H6O4,
(phthalic acid),
[88-99-3],
terephthalic acid,2.5×107
C8H6O4,
[100-21-0],
isophthalic acid,4.5 106×
C8H6O4,
[121-91-5],
dehydroacetic acid,2.9 ×101
C8H8O4,
[520-45-6],
caffeic acid,7.0 1010×
C9H8O4,
[331-39-5],
4-methylphthalic anhydride,1.4
C9H6O3,6.4×104
[19438-61-0],3.5 101×
p-tert-butylbenzoic acid,3.5 101×
C11H14O2,4.5×101
[98-73-7],3.6×102
"benzoic acid, anhydride",7.0
C 14 H 10 O3,3.7 ×102
[93-97-0],6.5×103
pyromellitic dianhydride,1.3 ×103
C 10 H2O6,1.3×103
[89-32-7],1.4 ×1011
"(Z,Z)-9,12-octadecadienoic acid",4.9 101×
C18H32O2,
(linoleic acid),
[60-33-3],
rosmarinic acid,3.7 1021×
C18H16O8,
[537-15-5],
ethanedioic acid,6.1×10
HOOCCOOH,7.1 ×106
(oxalic acid),3.1 ×104
[144-62-7],6.9×104
propanedioic acid,3.8×108
HOOCCH2COOH,9.3×107
(malonic acid),3.9×106
[141-82-2],
butanedioic acid,2.7 ×107
HOOC(CH 2 ) 2COOH,4.1 ×107
(succinic acid),2.0×107
[110-15-6],3.0×106
pentanedioic acid,1.9×107
HOOC(CH2)3COOH,5.1×107
(glutaric acid),2.4 ×107
[110-94-1],2.2 107×
hexanedioic acid,2.1 106×
HOOC(CH2)4COOH,6.6×107
(adipic acid),1.1×101
[124-04-9],1.8×105
heptanedioic acid,8.1 107×
C7H12O4,
(pimelic acid),
[111-16-0],
octanedioic acid,7.7×107
C8H14O4,
(suberic acid),
[505-48-6],
nonanedioic acid,8.9 107×
C9H16O4,
(azelaic acid),
[123-99-9],
decanedioic acid,7.6×107
C10H18O4,
(sebacic acid),
[111-20-6],
cis-butenedioic acid,1.4×10
HOOC(CH)2COOH,9.9×106
(maleic acid),
[110-16-7],
methanoic peroxyacid,2.9×101
HCOOOH,5.2
(peroxyformic acid),
[107-32-4],
ethanoic peroxyacid,8.3
CH3COOOH,7.3
(peroxyacetic acid),2.4×101
[79-21-0],8.3
"1,3-dioxolan-2-one",3.6 ×10−2
C3H4O3,
(ethylene carbonate),
[96-49-1],
"carbonic acid, dimethyl ester",1.6 ×10−2
C3H6O3,
[616-38-6],
dimethyl dicarbonate,2.2 10−2×
C4H6O5,
[4525-33-1],
methyl methanoate,4.1×10−2
HCOOCH3,4.1×10−2
(methyl formate),4.1×10−2
[107-31-3],3.9 10−2×
ethyl methanoate,3.4×10
HCOOC2H5,3.4×10−2
(ethyl formate),1.9 10−3×
[109-94-4],4.9 ×10−2
propyl methanoate,2.6×10−2
HCOOC3H7,2.6×10−2
(propyl formate),2.1 10−2×
[110-74-7],2.7 10−2×
isopropyl methanoate,1.2×10−2
HCOOC3H7,2.1×10−2
(isopropyl formate),3.9 10−2×
[625-55-8],1.2 10−2×
(2-methylpropyl)-methanoate,1.8 ×10−2
HCOOC 4 H9,1.8 ×10−2
(isobutyl formate),1.7×10−2
[542-55-2],2.0 ×10−2
"(1,1-dimethylethyl)-methanoate",1.4×10−2
HCOOC4H9,
(tert-butyl formate; TBF),
[762-75-4],
"methanoic acid, pentyl ester",1.3 ×10−2
C6H12O2,2.8×10−2
[638-49-3],
isopentyl methanoate,1.5×10−2
HCOOC 5 H11,1.7 ×10−2
(isoamyl formate),2.4 10−2×
[110-45-2],1.5 10−2×
"methanoic acid, hexyl ester",1.1 ×10−2
C7H14O2,1.6×10−2
[629-33-4],
methyl ethanoate,8.1×10
CH3COOCH3,1.2×10−1
(methyl acetate),6.6×10−2
[79-20-9],7.7×10−2
ethyl ethanoate,5.9 10−2×
CH3COOC2H5,6.2×10−2
(ethyl acetate),5.1 10−2×
[141-78-6],5.9 ×10−2
ethyl ethanoate-1-13C,7.1 ×10−2
CH3COOC2H5,
(ethyl acetate-1-13C),
[3424-59-7],
propyl ethanoate,4.5×10−2
CH3COOC3H7,4.5×10−2
(propyl acetate),4.6×10−2
[109-60-4],4.6×10−2
"ethanoic acid, 2-propenyl ester",7.6×10−2
C5H8O2,7.0 ×10−2
[591-87-7],
isopropyl ethanoate,3.5 10−2×
CH3COOC3H7,2.9×10−2
(isopropyl acetate),2.5×10−2
[108-21-4],2.9 ×10−2
"ethanol, 2-methoxy-, acetate",9.0
C5H10O3,
(methyl cellosolve acetate),
[110-49-6],
glycerol monoacetate,2.4×104
C5H10O4,
(acetin),
[26446-35-5],
"1-propen-2-ol, acetate",5.5 10−3×
C5H8O2,
(isopropenyl acetate),
[108-22-5],
butyl ethanoate,2.4 ×10−2
CH3COOC 4 H9,3.5×10−2
(butyl acetate),2.1 ×10−2
[123-86-4],2.3 ×10−2
sec-butyl acetate,2.3×10−2
C6H12O2,
[105-46-4],
"acetic acid, 1,1-dimethylethyl ester",2.4×10−2
C6H12O2,
(tert-butyl acetate),
[540-88-5],
(2-methylpropyl)-ethanoate,1.9×10
CH 3 COOC 4 H9,1.9 ×10−2
(isobutyl acetate),2.2×10−2
[110-19-0],2.7 10−2×
pentyl ethanoate,3.4×10−2
CH3COOC5H11,2.8 ×10−2
(amyl acetate),2.4×10−2
[628-63-7],2.4 ×10−2
"1,2-propanediol, diacetate",7.0×101
C7H12O4,
[623-84-7],
"2-pentanol, acetate",1.2×10−2
C7H14O2,
[626-38-0],
isopentyl ethanoate,2.6×10−2
CH3COOC 5 H11,2.6×10−2
(isoamyl acetate),2.1 10−2×
[123-92-2],1.7 10−2×
hexyl ethanoate,1.5 10−2×
CH3COOC6H13,5.2×10−3
(hexyl acetate),5.2×10−3
[142-92-7],1.8 10−2×
4-methyl-2-pentyl ethanoate,1.7×10−2
C 8 H16O2,1.1×10−2
[108-84-9],
"acetic acid, cyclohexyl ester",8.2×10
C8H14O2,
(cyclohexyl acetate),
[622-45-7],
"ethanol, 2-(2-ethoxyethoxy)-, acetate",4.3 102×
C8H16O4,
(diethylene glycol monoethyl ether ac-,
etate),
[112-15-2],
"acetic acid, phenyl ester",1.5 10−1×
C8H8O2,
[122-79-2],
"acetic acid, phenylmethyl ester",9.0 ×10−1
C9H10O2,
[140-11-4],
2-ethylhexyl ethanoate,1.1 ×10−2
C 10 H 20 O2,1.1 ×10−2
(2-ethylhexyl acetate),6.6×10−3
[103-09-3],
"ethanol, 2,2’-[1,2-",3.7×107
"ethanediylbis(oxy)]bis-, diacetate",
C10H18O6,
"(triethylene glycol, diacetate)",
[111-21-7],
1-methoxy-2-propyl ethanoate,9.9 10−1×
C6H12O3,
[108-65-6],
2-ethoxyethyl ethanoate,1.5
C6H12O3,1.9
[111-15-9],
2-butoxyethyl ethanoate,1.8
C8H16O3,1.3
(butyl cellosolve acetate),
[112-07-2],
"2-(2-butoxyethoxy)-ethanol, ethanoate",2.8×101
C10H20O4,4.1×101
[124-17-4],
"1,2-ethanediol, diethanoate",1.2 102×
C6H10O4,1.3×101
[111-55-7],
geranyl acetate,4.1×10−3
C12H20O2,
[105-87-3],
linalyl acetate,5.8×10
C12H20O2,
[115-95-7],
"cyclohexanol, 5-methyl-2-(1-",1.2 10−2×
"methylethyl)-, acetate",
C12H22O2,
(menthyl acetate),
[16409-45-3],
methyl propanoate,5.7×10−2
C2H5COOCH3,6.1×10−2
(methyl propionate),6.1 10−2×
[554-12-1],6.1 ×10−2
methyl 2-hydroxypropanoate,1.2×103
C4H8O3,
(methyl lactate),
[547-64-8],
ethyl propanoate,4.1×10−2
C2H5COOC 2 H5,3.9 ×10−2
(ethyl propionate),3.8 10−2×
[105-37-3],3.8 10−2×
propyl propanoate,2.5×10−2
C2H5COOC3H7,2.5×10−2
(propyl propionate),2.0 10−2×
[106-36-5],2.8 10−2×
isopropyl propanoate,1.7 10−2×
C2H5COOC3H7,1.7 ×10−2
(isopropyl propionate),1.7 10−2×
[637-78-5],2.4×10−2
(2-methylpropyl)-propanoate,1.8 10−2×
C7H14O2,
[540-42-1],1.9 10−2×
pentyl propanoate,1.4×10
C2H5COOC5H11,1.2 ×10−2
(amyl propionate),1.2 ×10−2
[624-54-4],2.2×10−2
"propanoic acid, 2-hydroxy-, ethyl ester",1.7×101
C5H10O3,
(ethyl lactate),
[97-64-3],
"propanoic acid, 2-phenylethyl ester",3.9×10−1
C11H14O2,
[122-70-3],
methyl butanoate,3.7 ×10−2
C3H7COOCH3,4.8×10−2
(methyl butyrate),3.7×10−2
[623-42-7],
ethyl butanoate,2.9 10−2×
C3H7COOC2H5,2.4 ×10−2
(ethyl butyrate),2.5 ×10−2
[105-54-4],2.4 10−2×
propyl butanoate,1.6 10−2×
C 3 H7COOC3H7,1.9×10−2
(propyl butyrate),1.4 ×10−2
[105-66-8],1.8×10−2
"butanoic acid, 2-methylpropyl ester",1.3 10−2×
C8H16O2,
[539-90-2],
(2-methylpropyl)-2-methylpropanoate,1.0 10−2×
C8H16O2,7.2×10−3
(isobutyl isobutyrate),1.2×10−2
[97-85-8],1.3 10−2×
"2-methylpropanoic acid, methyl ester",3.3×10
C5H10O2,
(methyl isobutyrate),
[547-63-7],
"2-methylpropanoic acid, ethyl ester",2.0 10−2×
C6H12O2,
[97-62-1],
cyclohexyl butanoate,
C10H18O2,
(cyclohexyl butyrate),
[1551-44-6],
"3-oxobutanoic acid, methyl ester",3.7×101
C 5 H 8 O3,1.7×101
[105-45-3],
"3-oxobutanoic acid, ethyl ester",1.1 ×101
C6H10O3,
[141-97-9],
methyl pentanoate,3.1×10−2
C4H9COOCH3,
[624-24-8],2.2×10−2
ethyl pentanoate,2.8 10−2×
C4H9COOC2H5,2.8×10−2
[539-82-2],2.9×10−2
"2-methylbutanoic acid, ethyl ester",8.9 ×10−3
C7H14O2,2.7×10−2
[7452-79-1],
"3-methylbutanoic acid, ethyl ester",1.6 ×10−2
C7H14O2,
[108-64-5],
"2,2-dimethylpropanoic acid, methyl es-",2.3×10−2
ter,
C6H12O2,
(methyl pivalate),1.7 ×10−2
[598-98-1],1.8 ×10−2
methyl hexanoate,1.9×10
C5H11COOCH3,2.7×10−2
[106-70-7],1.8×10−2
ethyl hexanoate,1.4×10−2
C5H11COOC2H5,1.8×10−2
[123-66-0],1.4×10−2
"2-ethylbutanoic acid, 1,2-",9.9 105×
"ethanediylbis(oxy-2,1-ethanediyl)",
ester,
C18H34O6,
[95-08-9],
ethyl heptanoate,2.0 ×10−2
C6H13COOC2H5,2.0×10−2
[106-30-9],2.0 10−2×
methyl octanoate,9.9 10−3×
C6H13COOCH3,1.3×10−2
[111-11-5],1.2 10−2×
ethyl octanoate,1.1 10−2×
C 7 H 15 COOC 2 H5,1.2 ×10−2
[106-32-1],7.8 10−3×
"octadecanoic acid, 2-methylpropyl ester",2.6×10−4
C22H44O2,
(isobutyl stearate),
[646-13-9],
"octadecanoic acid, butyl ester",2.6 10−4×
C22H44O2,
[123-95-5],
methyl nonanoate,7.0 10−3×
C10H20O2,
[1731-84-6],
ethyl nonanoate,1.3 10−2×
C8H17COOC2H5,
[123-29-5],
"nonanedioic acid, bis(2-ethylhexyl) es-",8.2×10
ter,
C25H48O4,
(di-2-ethylhexyl azelate),
[103-24-2],
methyl decanoate,1.1 10−2×
C11H22O2,1.4 ×10−2
(methyl caprate),3.2×10−3
[110-42-9],5.8 10−3×
ethyl decanoate,1.4×10−2
C 9 H19COOC2H5,1.7×10−2
[110-38-3],
methyl dodecanoate,8.3×10−3
C13H26O2,3.3×10−3
(methyl laurate),4.8 10−3×
[111-82-0],
ethyl dodecanoate,7.7 ×10−3
C 14 H 28 O2,3.1 ×10−3
(ethyl laurate),
[106-33-2],
propyl dodecanoate,7.7 10−3×
C15H30O2,2.1×10−3
(propyl laurate),
[3681-78-5],
butyl dodecanoate,7.1 10−3×
C16H32O2,1.5 ×10−3
(butyl laurate),
[106-18-3],
2-ethylhexyl dodecanoate,3.0 10−3×
C 20 H40O2,8.6×10−4
(2-ethylhexyl laurate),
[20292-08-4],
methyl tetradecanoate,5.0×10−3
C15H30O2,1.9 ×10−3
(methyl myristate),3.1 10−3×
[124-10-7],
methyl hexadecanoate,2.9 ×10−3
C17H34O2,1.1×10−3
(methyl palmitate),1.8×10−3
[112-39-0],
isopropyl palmitate,2.1 ×10−4
C19H38O2,
[142-91-6],
ascorbic palmitate,7.0×10
C22H38O7,
[137-66-6],
methyl octadecanoate,1.7×10−3
C19H38O2,6.2×10−4
(methyl stearate),1.1 10−3×
[112-61-8],
methyl eicosanoate,1.0 10−3×
C21H42O2,
(methyl arachidate),
[1120-28-1],
methyl docosanoate,5.9×10−4
C23H46O2,
(methyl behenate),
[929-77-1],
"cyclopropanecarboxylic acid, methyl",4.1 10−1×
ester,
C5H8O2,1.1×10−1
[2868-37-3],
"cyclohexanecarboxylic acid, methyl es-",1.1 ×10−1
ter,
C6H11COOCH3,
[4630-82-4],
"(Z,Z,Z)-9,12,15-octadecatrienoic acid,",2.8 ×10−1
methyl ester,
C19H32O2,7.2×10−3
(methyl linolenate),
[301-00-8],
"(Z,Z)-9,12-octadecadienoic acid,",6.2×10−2
methyl ester,
C19H34O2,4.8×10−3
(methyl linolate),
[112-63-0],
"(Z)-9-octadecenoic acid, methyl ester",1.3 ×10−2
C19H36O2,7.0×10−4
(methyl oleate),2.5×10−3
[112-62-9],
"(Z)-13-docosenoic acid, methyl ester",5.3 10−3×
C 23 H 44 O2,8.2 ×10−4
(methyl erucate),
[1120-34-9],
oxacyclohexadecan-2-one,4.0 10−3×
C15H28O2,7.6×10−2
(pentadecalactone),
[106-02-5],
2-tert-butylcyclohexyl acetate,9.9×10
C12H22O2,3.8×10−2
[88-41-5],5.3×10−1
"2-ethyl-3-oxo-butanoic acid, ethyl ester",3.4
C8H14O3,
[607-97-6],
"carbonic acid, diethyl ester",1.1 10−1×
C5H10O3,6.9×10−2
[105-58-8],
"2-hydroxypropanoic acid, butyl ester",4.9
C7H14O3,6.4×101
[138-22-7],
methyl propenoate,4.9×10−2
C 4 H 6 O2,5.2 ×10−2
(methyl acrylate),5.2 10−2×
[96-33-3],5.4×10−2
ethyl propenoate,2.9×10−2
C5H8O2,2.9 ×10−2
(ethyl acrylate),2.9×10−2
[140-88-5],3.5 10−2×
"2-propenoic acid, butyl ester",2.1×10−2
C 7 H12O2,2.0×10−2
[141-32-2],
"2-propenoic acid, 2-methylpropyl ester",1.6 ×10−2
C7H12O2,2.4 ×10−2
[106-63-8],
"2-propenoic acid, 2-ethylhexyl ester",2.3×10−2
C11H20O2,1.2×10−2
[103-11-7],
"2-propenoic acid, 2-hydroxyethyl ester",1.2 103×
C5H8O3,
(2-hydroxyethyl acrylate),
[818-61-1],
"2-methyl-2-propenoic acid, ethyl ester",1.7 10−2×
C6H10O2,1.6×10−2
[97-63-2],2.9×10−2
