1,2
[74-84-0],1.9 ×10−5
propane,1.5×10−5
C3H8,1.5×10−5
[74-98-6],1.5 10−5×
butane,1.2 10−5×
C 4 H10,1.2 ×10−5
[106-97-8],1.3 10−5×
2-methylpropane,9.1 ×10−6
HC(CH3)3,9.1 ×10−6
(isobutane),8.3 10−6×
[75-28-5],8.0 10−6×
pentane,8.0 10−6×
C5H12,8.0×10−6
[109-66-0],1.1 ×10−5
2-methylbutane,7.2 ×10−6
C5H12,7.0×10−6
(isopentane),7.2×10−6
[78-78-4],2.1 10−6×
dimethylpropane,2.7×10−6
C(CH 3 )4,5.9 ×10−6
(neopentane),2.7×10−6
[463-82-1],4.5×10−6
hexane,6.1 10−6×
C6H14,5.9×10−6
[110-54-3],6.1×10−6
2-methylpentane,5.9 10−6×
C6H14,1.3×10−5
(isohexane),5.8 10−6×
[107-83-5],5.7×10−6
3-methylpentane,5.8 10−6×
C6H14,5.8×10−6
[96-14-0],5.9×10−6
"2,2-dimethylbutane",5.8 10−6×
C6H14,5.8×10−6
[75-83-2],5.0 10−6×
"2,3-dimethylbutane",7.7 ×10−6
C6H14,8.2×10−6
[79-29-8],6.9×10−6
heptane,4.4 10−6×
C7H16,4.3 ×10−6
[142-82-5],4.5 10−6×
2-methylhexane,2.9 ×10−6
C7H16,1.9×10−5
(isoheptane),2.9 10−6×
[591-76-4],2.9 ×10−6
3-methylhexane,4.2×10−6
C 7 H16,4.0 ×10−6
[589-34-4],4.0 10−6×
"2,2-dimethylpentane",3.1 ×10−6
C7H16,3.1×10−6
[590-35-2],3.1 ×10−6
"2,3-dimethylpentane",5.7 10−6×
C 7 H16,5.7×10−6
[565-59-3],5.7×10−6
"2,4-dimethylpentane",3.3 ×10−6
C7H16,3.1×10−6
[108-08-7],3.1 10−6×
"3,3-dimethylpentane",5.4×10
C7H16,5.4 ×10−6
[562-49-2],5.4×10−6
3-ethylpentane,5.3×10−6
C7H16,3.9×10−6
[617-78-7],
"2,2,3-trimethylbutane",3.2×10−6
C7H16,3.2×10−6
[464-06-2],3.3 10−6×
octane,3.1 10−6×
C8H18,3.3×10−6
[111-65-9],3.4 10−6×
2-methylheptane,2.9 10−6×
C 8 H18,2.9 ×10−6
[592-27-8],2.7 10−6×
3-methylheptane,2.7×10
C 8 H18,2.7×10−6
[589-81-1],3.3×10−6
4-methylheptane,3.0×10−6
C8H18,2.7×10−6
[589-53-7],
"2,2-dimethylhexane",2.6 −6×10
C 8 H18,1.9×10−6
[590-73-8],
"2,3-dimethylhexane",3.4×10−6
C8H18,2.6×10−6
[584-94-1],
"2,4-dimethylhexane",1.9 ×10−6
C8H18,2.8−6×10
[589-43-5],
"2,5-dimethylhexane",2.7 10−6×
C8H18,1.7×10−6
[592-13-2],
"3,3-dimethylhexane",2.9 10−6×
C8H18,2.6 ×10−6
[563-16-6],
"3,4-dimethylhexane",3.8×10−6
C 8 H18,2.4 ×10−6
[583-48-2],
3-ethylhexane,3.7×10−6
C 8 H18,2.6×10−6
[619-99-8],
"2,2,3-trimethylpentane",2.7×10−6
C8H18,2.6×10−6
[564-02-3],
"2,2,4-trimethylpentane",3.0 10−6×
C 8 H18,4.6×10−6
(isooctane),3.3×10−6
[540-84-1],3.3×10−6
"2,3,3-trimethylpentane",3.6 10−6×
C8H18,2.4 ×10−6
[560-21-4],
"2,3,4-trimethylpentane",5.3×10−6
C8H18,
[565-75-3],4.9 ×10−6
3-ethyl-2-methylpentane,3.6 10−6×
C8H18,2.6×10−6
[609-26-7],
3-ethyl-3-methylpentane,4.5 10−6×
C8H18,2.3×10−6
[1067-08-9],
"2,2,3,3-tetramethylbutane",3.4 10−6×
C 8 H18,2.6 ×10−6
[594-82-1],
nonane,2.0 ×10−6
C9H20,2.2×10−6
[111-84-2],1.9×10−6
2-methyloctane,1.9 ×10−6
C9H20,2.1 ×10−6
[3221-61-2],
3-methyloctane,2.4×10−6
C9H20,1.9×10−6
[2216-33-3],
4-methyloctane,1.0×10−6
C 9 H20,9.9 ×10−7
[2216-34-4],2.3 10−6×
"2,3-dimethylheptane",2.4×10−6
C9H20,1.9×10−6
[3074-71-3],
"2,2-dimethylheptane",1.4 10−6×
C9H20,2.1 ×10−6
[1071-26-7],
"2,4-dimethylheptane",1.4×10−6
C9H20,2.1×10−6
[2213-23-2],
"2,5-dimethylheptane",1.5×10−6
C 9 H20,2.0×10−6
[2216-30-0],
"2,6-dimethylheptane",1.2×10−6
C9H20,2.1 ×10−6
[1072-05-5],
"3,3-dimethylheptane",2.3 10−6×
C9H20,1.9×10−6
[4032-86-4],
"3,4-dimethylheptane",2.6×10−6
C 9 H20,1.8×10−6
[922-28-1],
"3,5-dimethylheptane",1.5 ×10−6
C 9 H20,2.0 ×10−6
[926-82-9],
"4,4-dimethylheptane",2.1 10−6×
C9H20,1.9×10−6
[1068-19-5],
3-ethylheptane,2.6×10−6
C9H20,1.9×10−6
[15869-80-4],
4-ethylheptane,2.5 10−6×
C9H20,1.9×10−6
[2216-32-2],
"2,2,3-trimethylhexane",1.9×10
C9H20,1.9×10−6
[16747-25-4],
"2,2,4-trimethylhexane",1.1×10−6
C9H20,2.1×10−6
[16747-26-5],
"2,2,5-trimethylhexane",2.9 10−6×
C9H20,4.1×10−6
[3522-94-9],4.1 ×10−6
"2,3,3-trimethylhexane",2.4×10−6
C9H20,1.7×10−6
[16747-28-7],
"2,3,4-trimethylhexane",2.6 10−6×
C9H20,1.8 ×10−6
[921-47-1],
"2,3,5-trimethylhexane",1.4 10−6×
C9H20,2.0×10−6
[1069-53-0],
"2,4,4-trimethylhexane",1.4×10−6
C 9 H20,1.9×10−6
[16747-30-1],
"3,3,4-trimethylhexane",2.9 −6×10
C9H20,1.7 ×10−6
[16747-31-2],
3-ethyl-2-methylhexane,2.3×10−6
C9H20,1.9×10−6
[16789-46-1],
4-ethyl-2-methylhexane,1.5 10−6×
C9H20,2.0×10−6
[3074-75-7],
3-ethyl-3-methylhexane,3.2 10−6×
C9H20,1.7×10−6
[3074-76-8],
3-ethyl-4-methylhexane,3.1 10−6×
C 9 H20,1.8 ×10−6
[3074-77-9],
"2,2,3,3-tetramethylpentane",3.6 10−6×
C 9 H20,1.6 ×10−6
[7154-79-2],
"2,2,3,4-tetramethylpentane",1.9×10
C 9 H20,1.7×10−6
[1186-53-4],
"2,2,4,4-tetramethylpentane",9.0 10−7×
C9H20,1.9×10−6
[1070-87-7],
"2,3,3,4-tetramethylpentane",2.7 10−6×
C9H20,1.6×10−6
[16747-38-9],
"3-ethyl-2,2-dimethylpentane",1.9×10−6
C9H20,1.8×10−6
[16747-32-3],
"3-ethyl-2,3-dimethylpentane",3.5×10−6
C9H20,1.5×10−6
[16747-33-4],
"3-ethyl-2,4-dimethylpentane",1.9×10−6
C 9 H20,1.8 ×10−6
[1068-87-7],
"3,3-diethylpentane",
C 9 H20,4.1 ×10−6
[1067-20-5],1.5 ×10−6
decane,1.4×10−6
C10H22,1.9×10−6
[124-18-5],2.1 10−6×
2-methylnonane,1.5×10−6
C 10 H22,1.7 ×10−6
[871-83-0],
3-methylnonane,1.7 ×10−6
C10H22,1.7×10−6
[5911-04-6],
4-methylnonane,1.6 ×10−6
